cat_0;cat_1;cat_2;cat_3;cat_4;cat_5;cat_full;Link;Nome
#NULLO#;#NULLO#;#NULLO#;#NULLO#;#NULLO#;#NULLO#;#NULLO#_#NULLO#_#NULLO#_#NULLO#_#NULLO#_#NULLO#;https://www.amazon.com.br/Transmissor-Frequências-Selecionáveis-566-608MHz-Transmissão/dp/B0CKTXR73W;Receptor do Transmissor de Guitarra, Display LCD HD 1680 Frequências Selecionáveis ​​Guitar Bass Sistema Sem Fio 566-608MHz Transmissão Estável para Casa (plugue da ue)
#NULLO#;#NULLO#;#NULLO#;#NULLO#;#NULLO#;#NULLO#;#NULLO#_#NULLO#_#NULLO#_#NULLO#_#NULLO#_#NULLO#;https://www.amazon.com.br/Bose-Pro8-alto-falante-Bluetooth-aplicativo/dp/B08JZK1R9C;Bose L1 Pro8 - Sistema PA portátil, alto-falante portátil com Bluetooth integrado, mixador embutido e controle de aplicativo sem fio
#NULLO#;#NULLO#;#NULLO#;#NULLO#;#NULLO#;#NULLO#;#NULLO#_#NULLO#_#NULLO#_#NULLO#_#NULLO#_#NULLO#;https://www.amazon.com.br/EHLCYS-Polegadas-Magnético-Removível-Inteligente/dp/B0CMD7C241;EHLCYS Capa De Teclado Para Xiaomi Pad 6 / Pad 6 Pro De 11 Polegadas 2023 Tablet, Teclado Touchpad Magnético Removível Sem Fio Bluetooth, Capa De Couro Pu Inteligente Ultrafina
#NULLO#;#NULLO#;#NULLO#;#NULLO#;#NULLO#;#NULLO#;#NULLO#_#NULLO#_#NULLO#_#NULLO#_#NULLO#_#NULLO#;https://www.amazon.com.br/dp/B0CJMXNRWM;Transceptor SDR, conector de áudio de 1 MHz a 6 GHz 3,5 mm, liga de alumínio, tela sensível ao toque de 3,2 polegadas, recepção portátil, rádio SSB AM FM SDR para ouvir NFM e WFM (conjunto 3)
#NULLO#;#NULLO#;#NULLO#;#NULLO#;#NULLO#;#NULLO#;#NULLO#_#NULLO#_#NULLO#_#NULLO#_#NULLO#_#NULLO#;https://www.amazon.com.br/ERINGOGO-Flexível-Estéreo-Adaptador-Theater/dp/B0CK9T7JK4;ERINGOGO 1 Peça Cabo De Linha De Áudio Para Barra De Som Macho Para Fêmea Cabo Flexível Macho Para Fêmea Cabo De Áudio Fios De Luz Cabo Estéreo Cabo Adaptador De Áudio Home Theater Número
#NULLO#;#NULLO#;#NULLO#;#NULLO#;#NULLO#;#NULLO#;#NULLO#_#NULLO#_#NULLO#_#NULLO#_#NULLO#_#NULLO#;https://www.amazon.com.br/HOMSFOU-Projetor-Prateleira-Armazenamento-Roteador/dp/B0CJ8G3KH4;HOMSFOU 5 Peças Suporte De Projetor De Parede Suporte De Tvstand Tv Projetor De Parede Prateleira De Projetor Suporte De Armazenamento De Roteador Montagem De Projetor De Parede Bandeja
#NULLO#;#NULLO#;#NULLO#;#NULLO#;#NULLO#;#NULLO#;#NULLO#_#NULLO#_#NULLO#_#NULLO#_#NULLO#_#NULLO#;https://www.amazon.com.br/Pulseira-Apple-Watch-42mm-44mm/dp/B0BN7D1BSW;Pulseira Loop Alpina para Apple Watch 42mm 44mm 45mm 49mm, para Apple Watch Ultra Series 8, 7, SE, 3, 6, 5, 4 - Preto+Laranja+Verde
#NULLO#;#NULLO#;#NULLO#;#NULLO#;#NULLO#;#NULLO#;#NULLO#_#NULLO#_#NULLO#_#NULLO#_#NULLO#_#NULLO#;https://www.amazon.com.br/carbono-quadricóptero-controle-remoto-inferior/dp/B07S19GCJJ;Placa de fibra de carbono para drone, quadricóptero de controle remoto com placa inferior de fibra de carbono para modelo Emax Hawk Buzz
#NULLO#;#NULLO#;#NULLO#;#NULLO#;#NULLO#;#NULLO#;#NULLO#_#NULLO#_#NULLO#_#NULLO#_#NULLO#_#NULLO#;https://www.amazon.com.br/CLISPEED-Jammers-Masculinos-Masculino-Masculina/dp/B0BVSHYH9Y;CLISPEED Jammers Masculinos Para Natação Calção De Treino Masculino Calção De Banho Masculino Shorts De Praia Maiô Calça De Natação Roupa De Banho Masculina Roupa De Banho Ao Ar Livre
#NULLO#;#NULLO#;#NULLO#;#NULLO#;#NULLO#;#NULLO#;#NULLO#_#NULLO#_#NULLO#_#NULLO#_#NULLO#_#NULLO#;https://www.amazon.com.br/Xiaomi-Mi-Pad-256-gold/dp/B0CB1N87L4;Xiaomi Mi Pad 6 8+256 (gold)
Computadores e Informática;Acessórios;#NULLO#;#NULLO#;#NULLO#;#NULLO#;Computadores e Informática_Acessórios_#NULLO#_#NULLO#_#NULLO#_#NULLO#;https://www.amazon.com.br/Adaptador-transmissor-bidirecional-alcance-estável/dp/B0CFT48TT3;Adaptador, transmissor de som bidirecional de grande alcance estável Plug and Play sem fio para fone de ouvido para TV
Computadores e Informática;Acessórios;#NULLO#;#NULLO#;#NULLO#;#NULLO#;Computadores e Informática_Acessórios_#NULLO#_#NULLO#_#NULLO#_#NULLO#;https://www.amazon.com.br/KONTONTY-Hc-05-Módulo-Transceptor-Mestre-escravo/dp/B0CB25H651;KONTONTY Hc-05 Módulo Transceptor Mestre-escravo Rs232
