#;Tipo;Situação;Título;Qual o tipo do produto? ;Texto da busca;Qual foi a data da coleta?;Marketplace;Fabricante;Modelo do Produto;Valor;Existe campo código SCH?;Código SCH foi fornecido?;Qual código SCH fornecido?;Código SCH é o do produto?;Código EAN foi fornecido?;Qual código EAN fornecido?;Código EAN é o do produto?;Produto do anúncio homologado?
151911;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000433;Celulares e Smartphones;smartphone;12/07/2024;Shopee;Multi;S146;199,90;Sim;Sim;047452103111;Sim;Não;0;Não é possível afirmar;Não
151910;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000432;Celulares e Smartphones;smartphone;12/07/2024;Shopee;Xiaomi Communications Co.;Xiaomi Redmi 12C Celular Original 128GB 4GB RAM;684,00;Sim;Sim;217622209185;Sim;Não;0;Não;Sim
151909;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000431;Celulares e Smartphones;smartphone;12/07/2024;Shopee;Xiaomi;2312DRAABG ;1489,99;Sim;Sim;175602314550;Sim;Não;0;Não é possível afirmar;Sim
151908;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000430;Celulares e Smartphones;smartphone;12/07/2024;Shopee;Xiaomi Communications Co.;Redmi 13C Global / 23100RN82L;889,99;Sim;Sim;175342314550;Sim;Não;0;Não;Sim
151907;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000429;Celulares e Smartphones;smartphone;12/07/2024;Shopee;Não fornecido;Não fornecido;1199,00;Não;Não;0;Não;Não;0;Não;Não é possível afirmar
151906;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000428;Celulares e Smartphones;smartphone;12/07/2024;Shopee;MULTILASER INDUSTRIAL LTDA.;S177;360,99;Sim;Sim;84282203111;Não é possível afirmar;Não;0;Não;Sim
151905;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000427;Celulares e Smartphones;smartphone;12/07/2024;Shopee;SAMSUNG ELECTRONICS CO.;A35;1499,90;Sim;Sim;235482300953;Sim;Não;0;Não;Sim
151904;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000426;Celulares e Smartphones;smartphone;12/07/2024;Shopee;Xiaomi Communications Co.;Redmi 13C / 23100RN82L;869,00;Sim;Sim;175342314550;Sim;Não;0;Não;Sim
151903;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000425;Celulares e Smartphones;smartphone;12/07/2024;Shopee;Boutique Tecnologia Digital Co., Ltd.;S24 Ultra;258,88;Sim;Não;S24 Ultra;Não;Não;0;Não;Não
151902;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000424;Celulares e Smartphones;smartphone;12/07/2024;Shopee;Xiaomi Communications Co.;M1903C3EH;147,00;Sim;Sim;049581909185;Sim;Não;0;Não;Sim
