"Projeto";"Tipo";"Situação";"Título";"Descrição";"Data de início";"Data limite";"Atribuído para";"Lotação"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00000001";"h1. Streaming Box S Tucson 2018 A 2022 Carplay 4g Wi-fi 32gb 2gb

STREAMING BOX S - 2GB RAM | 32GB ARMAZENAMENTO Streaming Box Automotivo Para Carros Com Sistema Carplay ! Todas as vantagens do Streaming agora direto na sua Multimídia original, incluindo YouTube, Netflix, GloboPlay, Amazon Prime, Disney e muito mais. Operando em carros com CarPlay de fábrica¹, o Streaming Box Faaftech traz uma experiência de entretenimento nunca imaginada. Sua central Multimídia de fábrica, finalmente poderá ser chamada de Multimídia, com músicas, vídeos e navegação online, internet 4G e Wi-Fi para compartilhar com os passageiros. • YOUTUBE, STREAMING E MUITO MAIS O entretenimento no seu carro vai evoluir. Agora vai poder incluir clipes, vídeos e lives do YouTube, além de Netflix e muito mais. É entretenimento para todos, dos vídeos preferidos da criançada à filmes e series para seus passageiros. • WI-FI PARA TODOS NO CARRO Que tal Wi-Fi com internet para todos no seu carro? Adicionando um SIM Card 4G ao Streaming Box Faaftech, além de poder acessar seus Apps e conteúdos independente do seu smartphone ainda vai poder compartilhar internet Wi-Fi com todos no carro². Mas se preferir não instalar um SIM Card, você pode usar todas as funcionalidades do Streaming Box Faaftech normalmente através do compartilhamento da internet do smartphone. • O PODER E A VELOCIDADE DO OCTACORE QUALCOMM O propósito é entretenimento, e um sistema lento não combina, certo? Por isso o Streaming box Faaftech possui processador Qualcomm de 8 núcleos garantindo mais que o dobro da velocidade que qualquer outro. • A INSTALAÇÃO MAIS FÁCIL QUE VOCÊ JÁ VIU Nada de desmontar seu carro! Conecte o Streaming Box Faaftech no USB e pronto, é só aproveitar. • SEU CARPLAY E ANDROID AUTO AGORA SEM FIO Aproveite o máximo da comodidade do CarPlay e Android Auto sem fio, assim não importa se seu telefone está no bolso ou na bolsa, basta estar no carro que está pronto para o uso. Com o Streaming Box Faaftech você não vai mais precisar conectar cabo para usar CarPlay ou Android Auto, navegue, ouça músicas, faça chamadas e use o assistente pessoal tudo sem fio. • COMPATÍVEL COM MAIS CARROS QUE QUALQUER OUTRO Graças ao elevado desempenho de seu Processador Qualcomm o Streaming Box Faaftech possui 4 vezes mais compatibilidade, assim se você tiver mais de um carro, ou mesmo quando trocar de carro¹, vai poder continuar usando o mesmo dispositivo. • SPLIT SCREEN Utilize até dois Apps simultaneamente na sua tela. Assim você pode por exemplo utilizar a Navegação GPS enquanto os passageiros continuam com o entretenimento. ------------------------------ CARACTERÍSTICAS ------------------------------ • Sistema Android 9 com Google Play Store para baixar seus aplicativos preferidos • Controles touchscreen diretamente na multimídia, inclusive comandos de volante³ • GPS, 4G/3G, WiFi e Bluethooth Integrados para o máximo de conectividade • Instalação USB plug and play, só plugar e usar • Processador poderoso garantindo alta velocidade e estabilidade • Função Split Screen e Picture In Picture, permitindo usar dois aplicativos simultaneamente • CarPlay e Android Auto sem fio para maximizar a sua comodidade • Certificação Anatel ----------------------------- ESPECIFICAÇÕES ----------------------------- • Sistema operacional: Android 9 • CPU: QualComm Octacore 1.8GHz • Memória RAM: 2GB DDR4 • Memória Flash: 32GB eMMC Flash • Rede: 2G, 3G, 4G LTE • Wi-Fi: 802.11a/b/g/n/AC 2.4GHz + 5GHz • Bluetooth: Dual BLE 5.0/4.2 Slave/Master + A2DP • Entrada para cartão de Memória: Micro SD de até 128GB • Alimentação: 5V-12V 2A • Dimensões (Altura, Largura, Comprimento): 14.5mm x 81.7mm x 80.5mm • SIM CARD: Micro-SIM (15mm x 12mm x 0.76 mm) • Peso: 75g • Temperatura de operação: -10 a 70°C -------------------------- OBSERVAÇÕES -------------------------- • ¹ Desde que o veículo esteja listado na aplicação. • ² Não é possível compartilhar internet para os passageiros enquanto utiliza o CarPlay sem fio. • ³ Compatibilidade dos comandos de volante não disponível para todos os veículos. • Comandos no Touch Screen disponível para carros com Touch Screen de fábrica, podendo também ser operado pelos comandos do console como iDrive nos casos de ausência de comandos touch na tela de fábrica. • Para ter Internet 4G é necessário adquirir SIM Card com plano de dados de sua operadora. -------------------------------- ITENS INCLUSOS -------------------------------- • Central Streaming Box S • Cabo USB • Adaptador USB Type C • Certificado de Garantia MARCA: Faaftech GARANTIA: 12 Meses pelo fabricante Não nos responsabilizamos por nenhum dano ocasionado pela instalação do produto por um profissional não qualificado, sendo assim de total responsabilidade do proprietário Todas as informações divulgadas são de responsabilidade do fabricante / fornecedor. Verifique com os fabricantes do produto e de seus componentes eventuais limitações à utilização de todos os recursos e funcionalidades. 0

!{max-width:250px; height:auto}https://http2.mlstatic.com/D_NQ_NP_982375-MLB52592273407_112022-F.webp!";"29/04/2024";"31/05/2024";"aeciom";"UO071"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00000002";"h1. Smartphone Motorola Moto G52 XT2221-1 Dual Sim de 128GB/4GB Ram de 6.6"" 50+8+2MP/16MP -Branco

Fotografia profissional no seu bolsoDescubra infinitas possibilidades para suas fotos com as 3 câmeras principais de sua equipe. Teste sua criatividade e jogue com iluminação, diferentes planos e efeitos para obter ótimos resultados.Além disso, o dispositivo possui uma câmera frontal de 16 Mpx para que você possa tirar selfies divertidas ou fazer videochamadas.Capacidade e eficiênciaCom seu poderoso processador e memória RAM de 8 GB seu computador alcançará alto desempenho com alta velocidade de transmissão de conteúdos e executará vários aplicativos ao mesmo tempo, sem atrasos.Desbloqueio facial e de impressão digitalMáxima segurança para que apenas você possa acessar o sua equipe. Você pode escolher entre o sensor de impressão digital para ativar seu telefone com um toque, ou o reconhecimento facial que permite desbloquear até 30% mais rápido.Vida útil da bateria mais longaDesconecte-se! Com a super bateria de 5000 mAh você terá energia por muito mais tempo para jogar, assistir séries ou trabalhar sem recarregar.

!{max-width:250px; height:auto}https://a-static.mlcdn.com.br/90x90/smartphone-motorola-moto-g52-xt2221-1-dual-sim-de-128gb-4gb-ram-de-6-6-50-8-2mp-16mp-branco/casagrandeshop/11222212155/e436e27103e583caecd7d2b8a9291b4a.jpeg!";"29/04/2024";"31/05/2024";"aeciom";"UO071"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00000003";"h1. Notebook Dell Latitude 7490 I5 8ª Ger Ddr4 16gb Ssd 256gb Cor Preto

Os produtos da Dell destacam-se por oferecer soluções reais para cada uma das necessidades. Seja para se divertir, trabalhar ou colaborar de maneira online, você poderá fazer isso com segurança de qualquer lugar e a qualquer hora. Tela com alto impacto visual A sua tela LED de 14'' e 1920x1080 px de resolução lhe dará cores mais vivas e definidas. Seus filmes e séries favoritas ganharão vida, com maior qualidade e definição em cada detalhe. Eficiência na ponta dos dedos Seu processador Intel Core i5 de 4 núcleos, é projetado para aquelas pessoas que geram e consomem conteúdo. Com esta unidade central, a máquina realizará vários processos simultaneamente, desde a edição de vídeo até o retoque de fotos com programas profissionais. Unidade sólida poderosa O disco sólido de 256 GB faz o equipo funcionar em alta velocidade e por isso oferece a maior agilidade para operar com diversos programas. Um processador exclusivo para os gráficos Sua placa de vídeo Intel HD Graphics 620 torna a este dispositivo numa ótima ferramenta de trabalho para qualquer profissional de design. Ele vai permitir que você atinja um ótimo desempenho em todos os seus jogos e outras tarefas diárias que requerem processamento gráfico.

!{max-width:250px; height:auto}https://http2.mlstatic.com/D_NQ_NP_754395-MLU70660701577_072023-F.webp!";"29/04/2024";"31/05/2024";"aeciom";"UO071"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00000004";"h1. Mini rede sem fio, placa de rede sem fio USB 3.0 adaptador Wi-Fi para PC, desktop, laptop, compatível com dispositivos USB 2.0 e USB 1.1";"29/04/2024";"31/05/2024";"aeciom";"UO071"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00000005";"h1. Fone Bluetooth TWS Kaidi KD-771 - 5.1, Touch, À Prova d'Água

Fone Bluetooth Tws, Kaidi Kd-771, Bluetooth 5.1 PretoO Fone Bluetooth Tws Kaidi Kd-771 é a escolha perfeita para quem busca liberdade e praticidade ao ouvir música, fer chamadas telefônicas e carregar o fone em qualquer lugar. Com a tecnologia Bluetooth 5.1, você terá uma conexão estável e de baixa latência, garantindo uma experiência sonora incrível.Com seu design inovador, o fone de ouvido in-ear Kaidi Kd-771 se encaixa perfeitamente nos ouvidos, proporcionando conforto durante horas de uso. Além disso, sua resistência à água no nível ipx4 permite que você se exercite ou se movimente sem preocupações.A bateria do fone oferece até 4 horas de reprodução contínua. Quando não estiver em uso, você pode recarregar o fone no estojo, que possui uma bateria incorporada. Dessa forma, você nunca ficará sem bateria durante o dia.Com o Fone Bluetooth Tws Kaidi Kd-771, você pode aproveitar sua música favorita em qualquer lugar, seja na academia, no caminho para casa, na escola ou no carro. Sua versatilidade permite que você o utilize em diversas atividades do seu dia a dia.Principais Características:- Marca: Kaidi- Modelo: Kd-771- Versão do Bluetooth: 5.1- Resistência à água: ipx4- Tempo de reprodução: até 4 horas- Estojo com bateria incorporadaCompre agora o Fone Bluetooth Tws Kaidi Kd-771 e tenha uma experiência sonora incrível, com liberdade e praticidade em todos os momentos do seu dia.1. O fone de ouvido é compatível com todos os dispositivos Bluetooth?R: Sim, o Fone Bluetooth Tws Kaidi Kd-771 é compatível com todos os dispositivos que possuam conexão Bluetooth.2. Qual a duração da bateria do fone de ouvido?R: A bateria do fone de ouvido oferece até 4 horas de reprodução contínua.3. Posso utilizar o fone de ouvido durante a prática de esportes?R: Sim, o fone de ouvido possui resistência à água no nível ipx4, o que o torna ideal para ser utilizado durante a prática de esportes.4. O estojo do fone de ouvido possui bateria?R: Sim, o estojo do fone de ouvido possui uma bateria incorporada, que permite recarregar o fone quando não estiver em uso.Adquira agora o Fone Bluetooth Tws Kaidi Kd-771 e desfrute de uma experiência sonora incrível, com conforto e praticidade em todas as suas atividades diárias.

!{max-width:250px; height:auto}https://a-static.mlcdn.com.br/280x210/fone-bluetooth-tws-kaidi-kd-771-5-1-touch-a-prova-d-agua/olistsp/osp7l3lzhytwvw4f/b6fb5350e671cb8c97844413158dd4c5.jpeg! !{max-width:250px; height:auto}https://a-static.mlcdn.com.br/90x90/fone-bluetooth-tws-kaidi-kd-771-5-1-touch-a-prova-d-agua/olistsp/osp7l3lzhytwvw4f/b6fb5350e671cb8c97844413158dd4c5.jpeg! !{max-width:250px; height:auto}https://a-static.mlcdn.com.br/90x90/fone-bluetooth-tws-kaidi-kd-771-5-1-touch-a-prova-d-agua/olistsp/osp7l3lzhytwvw4f/edb9b7f6507c7eee70c69f9e8bb33500.jpeg!";"29/04/2024";"31/05/2024";"aeciom";"UO071"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00000006";"h1. 10 PCS Charging Port Connector for Xiaomi Redmi 4

1. Conector de porta de carregamento para Xiaomi Redmi 4 Pantaohuaes Mobile Telepho Quando você substituir o seu antigo, por favor, com cuidado e delicadeza. Peças de soluções de telefone celular de pantasohuaes Todos os produtos são seguros para comprar e entrega rápida, serviço de e-mail de 24 horas.Se você tiver alguma dúvida, não hesite em entrar em contato conosco. Se você tiver alguma dúvida, entre em contato conosco por e -mail.

!{max-width:250px; height:auto}https://m.media-amazon.com/images/I/51AWaU6xKML._AC_UL320_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/51AWaU6xKML._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/41Ry-yzE0pL._AC_.jpg!";"29/04/2024";"31/05/2024";"aeciom";"UO071"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00000007";"h1. Roteador Wireless Xiamoi Mi R4cm 04 Antenas 2.4ghz 300mbps

Sinal contínuo Com o roteador Xiaomi 4A você será capaz de estabelecer redes poderosas para enviar e receber informações em alta velocidade Conexão sem fio Com este equipamento sem fio você poderá se mover livremente em torno de sua casa ou escritório e desfrutar da conexão sem estar ciente dos fios. Mais antenas, melhor sinal Com este dispositivo, as paredes e os tetos não são um obstáculo: vários receptores garantem um melhor desempenho em locais com alto nível de interferência. Informação que voa Não importa quantos artefatos conectados ou a magnitude dos dados, sua conexão será impressionante. Com uma velocidade de 1167 Mbps, os tempos de carga lentos são deixados para trás. Grande alcance e estabilidade Fique sempre online! Com sua banda dupla você consegue maior alcance e melhor estabilidade de frequência. Garantia do vendedor: 3 meses

!{max-width:250px; height:auto}https://http2.mlstatic.com/D_NQ_NP_887583-MLB71559236594_092023-F.webp!";"29/04/2024";"31/05/2024";"aeciom";"UO071"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00000008";"h1. Drone com câmera Câmera 4K, HD WiFi Live Video, RC Dual GPS Homecoming com Fluxo Óptico Câmera de Reconhecimento de Gesto de Trajetória de Ponto Fixo de Fluxo Óptico";"29/04/2024";"31/05/2024";"aeciom";"UO071"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00000009";"h1. Transceptor Sem Fio Handsfree Para Kit De Áudio De 6000 Cd

Características: Plug and Play. Circuito integrado de eliminação de ruído, qualidade de som superior . Suporta carregamento de celular. Suporta conectar dois dispositivos BT ao mesmo tempo. Este módulo permite conectar uma fonte de áudio externa, funciona através de dispositivos habilitados para BT. Este estilo suporta áudio BT e chamadas telefônicas sem usar as mãos. Especificação : Cor : preto Material: plástico Versão BT: 5.0 Tamanho do microfone: 150 CM Tamanho da embalagem: 18 * 12 * 3 cm Peso da embalagem: 46g Montagem: Substituição do Focus a partir de 2005 Substituição para Mondeo a partir de 2005 Substituição para Fiesta a partir de 2005 Substituição para Fusion a partir de 2005 Substituição para Galaxy a partir de 2006 Substituição para c-max, s-max a partir de 2005 Substituição para Transit a partir de 2005 Lista de embalagem: 1 * Adaptador BT Garantia do vendedor: 3 meses

!{max-width:250px; height:auto}https://http2.mlstatic.com/D_NQ_NP_793205-CBT71660364855_092023-F.webp!";"29/04/2024";"31/05/2024";"aeciom";"UO071"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00000010";"h1. Kadimendium Placa geradora DTMF, módulo gerador de áudio com dois módulos transmissores de plugue de áudio de 3,5 mm com interface de entrada de 7 MCU Interface MCU para teclado de discagem";"29/04/2024";"31/05/2024";"aeciom";"UO071"
