"Projeto";"Tipo";"Situação";"Título";"Descrição";"Data de início";"Data limite";"Atribuído para";"Lotação"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00003585";"h1. Transceptor De Fibra Rj45 Tbcmc3602ed20 20km/sc/1310nm

Descrição O vendedor não incluiu uma descrição do produto

!{max-width:250px; height:auto}https://http2.mlstatic.com/D_NQ_NP_804118-CBT71987003738_102023-F.webp!";"29/04/2024";"31/05/2024";"eduardo";"GR02"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00003586";"h1. Placa do carregador, bateria de lítio Placa do carregador LED luz segura para exterior para telefone celular

!{max-width:250px; height:auto}https://m.media-amazon.com/images/I/51reJS1ZwBL._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/51apLQ6Z8UL._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/51Z8RVUOHaL._AC_.jpg!";"29/04/2024";"31/05/2024";"eduardo";"GR02"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00003587";"h1. Moto compressor portátil pratiko 50 60HZ com roda 110V - Schulz

Seja Bem Vindo a DDMáquinas!DESCRIÇÃOCompressor de Ar Pratiko 8,6/50 Schulz 2CV, ideal para calibragem de pneus, inflagem de objetos, limpeza de peças e pequenos serviços de pintura hobby com pistola de baixa produção, além de acionamento de ferramentas pneumáticas como pinadores e grampeadores.Com vazão de 8,6 pcm e pressão de 120lbf/pol2, o Pratiko CSI 8,6/25 é ergonômico e fácil de usar, conta com cabo de manobra e rodas que facilitam seu transporte e manuseio durante a aplicação.Possui carenagem com design inovador que contém exclusivo suporte para enrolar o cabo elétrico, acessório que contribui para dar mais segurança e praticidade na sua organização.ESPECIFICAÇÕES TÉCNICAS Segmento: ResidencialRegime de Trabalho: IntermitenteFase - Tensão: Monofásico - 110VTipo do Motor: AbertoDeslocamento Teórico: 243,8 l/minPressão de Operação Máxima: 120 lbf/pol2Pressão de Operação Mínima: 80 lbf/pol2Potência: 2 hpFrequência: 60 HzNúmero de Polos: 2Número de Estágios: 1Número de Pistões: 1Volume do Reservatório: 46 litrosLubrificado ou Isento: LubrificadoCertificações: Vaso de Pressão Certificado Inmetro: Segurança - Compulsório - Registro 001534/2018 - OCP: 0018Dimensões: A x L x C (cm): 85 x 41 x 83cmPeso Bruto (kg): 37Peso Líquido (kg): 29CONTEÚDO DA EMBALAGEM 1 Compressor Pratiko*Imagens meramente ilustrativas**Todas as informações divulgadas são de responsabilidade do Fabricante/Fornecedor*

!{max-width:250px; height:auto}https://a-static.mlcdn.com.br/280x210/moto-compressor-portatil-pratiko-50-60hz-com-roda-110v-schulz/ddmaquinas/94188/44030946cbcaf9862dbebdb9a6810ebb.jpeg! !{max-width:250px; height:auto}https://a-static.mlcdn.com.br/90x90/moto-compressor-portatil-pratiko-50-60hz-com-roda-110v-schulz/ddmaquinas/94188/44030946cbcaf9862dbebdb9a6810ebb.jpeg! !{max-width:250px; height:auto}https://a-static.mlcdn.com.br/90x90/moto-compressor-portatil-pratiko-50-60hz-com-roda-110v-schulz/ddmaquinas/94188/ac0db8290da67a81c4f4e3911d1e1486.jpeg!";"29/04/2024";"31/05/2024";"eduardo";"GR02"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00003588";"h1. Drone Quadricoptero Infantil Com Luzes Led Controle Por Mão

BABY & KIDS *-* Seja Bem Vindo !!! *Loja Oficial no Mercado Livre *Mercado Lider Platinum *Produtos de Qualidade *Pagamento Facilitado *Produtos com Garantia *Produtos com Nota Fiscal ---------------------------------------------------------------------------------------------------------------------- Drone Infantil Com vocês: o evoluído Quadricóptero Hand Sensor 2.0 da Polibrinq! A criança a partir dos 4 anos terá à sua disposição uma versão atualizada da linha de drones infantis que está a todo vapor, contando com dois modos de brincar: Modo Arremesso, jogando-o para cima e o verá voar sozinho, brinque apenas com suas mãos, sem controle, mas não se preocupe, com seu sensor de obstáculo não tem perigo de bater em objeto. Modo Controle, controlando-o apenas com o movimento da sua mão, com esse controle você poderá ir para a direita e para a esquerda, para cima e para baixo e até fazer manobras apenas com alguns gestos. A alimentação da bateria do brinquedo é através de um cabo carregador USB que contém dentro da embalagem, assim como também o controle. Descubra funções e ferramentas incríveis como o sensor de obstáculo, controle sensorial e sensor de altitude. Controle e faça manobras radicais usando o botão de decolagem e pouso, com o Giro 360, Giroscópio e as lindas luzes LED. Com o Quadricoptero Hand Sensor a diversão é completa! Informações do Drone: - Marca: Polibrinq - Modelo: Hand Sensor 2.0 - Cor: Laranja - Uso Recomendado: A Partir de 4 anos - Composição Material: ABS e Componentes Eletrônicos - Alimentação Drone: 1 Bateria 3.7 600mAh (inclusa) - Alimentação Controle: 1 Bateria 3.7V 150mAh (inclusa) - Controle Funciona por Movimento da Mão - Possui Chave de Ignição e Desligamento - Possui 2 Modos de Brincar: Arremesso e Controle Sensorial - Conta com Sensores de Obstáculo e Altitude - Conta Funcionalidades de Giro 360 e Giroscópio - Possui Botão de Decolagem e Pouso - Medidas Aproximadas do Drone (AxLxC): 4x17x17cm - Peso Aproximado do Drone: 202g - Medidas Aproximadas da Embalagem (AxLxC): 9x39x43cm - Peso Aproximado da Embalagem: 476g - Certificado INMETRO: 001827/2022 - Certificado ANATEL: 1514-13-6926 Conteúdo da Embalagem: - 1 Drone - 1 Cabo Carregador USB - 1 Chave de Ignição - 1 Controle - Manual de Instruções ---------------------------------------------------------------------------------------------------------------------- Importante: - Não nos responsabilizamos pelo mau uso do produto. - Imagens meramente ilustrativas, cores e estampas podem variar de acordo com o lote do fabricante. Obrigado e boas compras!

!{max-width:250px; height:auto}https://http2.mlstatic.com/D_NQ_NP_604549-MLB53052375747_122022-F.webp!";"29/04/2024";"31/05/2024";"eduardo";"GR02"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00003589";"h1. ABOOFAN 2 Pçs Capa De Câmera Webcam Privacidade Slider Capa De Privacidade De Câmera Webcam PC Capa De Câmera De Telefone Tablet Para Niños Capa De Câmera Web Para Laptop Capa De Webcam";"29/04/2024";"31/05/2024";"eduardo";"GR02"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00003590";"h1. For Galaxy J7 / J710 Battery Back Cover

Simples, confortável e fácil de transportar. Proteja completamente seu equipamento contra arranhões normais, sujeira e abrasão. Novas costuras duráveis são mais duráveis O serviço pós-venda é muito bom.Por favor, preste atenção ao modelo de telefone antes de comprar. For Galaxy J7 / J710 Battery Back Cover

!{max-width:250px; height:auto}https://m.media-amazon.com/images/I/31nTUu4BMGL._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/315Gj4DFrTL._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/314stcJ3HtL._AC_.jpg!";"29/04/2024";"31/05/2024";"eduardo";"GR02"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00003591";"h1. Fone Ouvido Bluetooth In-Ear Preto Compatível Com G82 - Hm Pro

Fone Ouvido Bluetooth In-Ear Preto Compatível Com G82 Fone de ouvido compatível, ou seja, ele vai servir perfeitamente para o modelo indicado no anúncio, sendo um produto que é feito por uma empresa diferente do fabricante do smartphone. Esse fone Bluetooth não tem nenhuma relação com o fabricante do smartphone, no entanto funciona perfeitamente no modelo informado. Fone de ouvido bluetooth especialmente desenvolvido para pessoas leigas, que tem maior dificuldade no pareamento de produtos do tipo bluetooth, pois ele tem como característica a facilidade em realizar o pareamento do fone Bluetooth. Para fer o pareamento desse fone bluetooth é muito simples: 1- Carregue totalmente o Fone Bluetooth2- Deslique o Bluetooth do Smartphone3- Após carregado, retire ambos fones da caixinha e aguarde 510 segundos4- Ligue o Bluetooth do Smartphone5- Faça o pareamento de forma simples O fone de ouvido tem boa bateria, podendo durar várias horas em uso intermitente, a 80% de volume. Funciona tanto o aúdio em apenas um dos lados como também vai funcionar naturalmente dos dois lados sendo uma característica muito interessante pois várias pessoas gostam de usar os fones em apenas um dos lados. A caixinha carregadora permite também que os fones fiquem carregando enquanto você não está usando, sendo que o carregamento da caixinha pode ser tanto através de porta USB ou tomadinha (Não incluso). Itens inclusos no pacote:- 1 Par de fones de ouvido Bluetooth (Preto)- 1 Ótima caixa carregadora- 1 Mini Manual de InstruçõesHomologação Anatel: 025911203111

!{max-width:250px; height:auto}https://a-static.mlcdn.com.br/280x210/fone-ouvido-bluetooth-in-ear-preto-compativel-com-g82-hm-pro/olistsp/ospqx9clwhq29jwz/9ae9d6ce04db96b5c3cd81d6190e2dcc.jpeg! !{max-width:250px; height:auto}https://a-static.mlcdn.com.br/90x90/fone-ouvido-bluetooth-in-ear-preto-compativel-com-g82-hm-pro/olistsp/ospqx9clwhq29jwz/9ae9d6ce04db96b5c3cd81d6190e2dcc.jpeg! !{max-width:250px; height:auto}https://a-static.mlcdn.com.br/90x90/fone-ouvido-bluetooth-in-ear-preto-compativel-com-g82-hm-pro/olistsp/ospqx9clwhq29jwz/e2fdcfbb7d7a5a957d1b0aec61074cbc.jpeg!";"29/04/2024";"31/05/2024";"eduardo";"GR02"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00003592";"h1. Clipe De Bateria Porta Braçadeira Cowbell Sino De Vaca Braçadeira De Suporte De Cowbell Suporte De Sino De Tambor Peças De Reposição De Tambor Grampear Dispositivo Elétrico Metal

!{max-width:250px; height:auto}https://m.media-amazon.com/images/I/31i-ipdyi9L._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/51GpJvds5kL._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/417R2W9JR6L._AC_.jpg!";"29/04/2024";"31/05/2024";"eduardo";"GR02"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00003593";"h1. Drone DJI Mavic 3 Cine Premium Combo com dual câmera 5.1K cinza 5.8GHz 3 baterias

Os Drones da DJI são caracterizados pela melhor tecnologia ao serviço de cada tipo de usuário e cenário de captura. Se você está procurando um drone para iniciantes, um drone profissional ou apenas quer estar atualizado com as últimas inovações, é hora de escolher esta marca. Projetado para viver uma experiência única Sua velocidade máxima é de 19 m/s, o que lhe dará a possibilidade de economizar tempo nos movimentos. Através de sua câmera 5.1K você obterá imagens de alta resolução e qualidade, e poderá registrar todo o seu caminho. Graças ao seu sistema GPS você poderá alcançar longas distâncias e conquistar os espaços de forma independente. Inclui 3 baterias, que fornecerão ao drone energia suficiente para funcionar. No final da viagem, você poderá recarregá-las com facilidade e conforto. Ao infinito e além Este drone aéreo permitirá que você veja absolutamente tudo desde as alturas. Certifique-se de encontrar uma plataforma de voo que lhe permita trabalhar confortavelmente e prepare-se para voar. Desenhado para você Inclui um controle remoto caracterizado por um design ergonômico para uma aderência mais confortável e oferece uma vida útil da bateria ideal. Aviso legal • A duração da bateria depende do uso que se dê ao produto.

!{max-width:250px; height:auto}https://http2.mlstatic.com/D_NQ_NP_665269-MLA48645187749_122021E-F.webp!";"29/04/2024";"31/05/2024";"eduardo";"GR02"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00003594";"h1. Cabo HDMI 2.0 4K 19 Pinos - Plug 90 Graus, 2 Metros";"29/04/2024";"31/05/2024";"eduardo";"GR02"
