"Projeto";"Tipo";"Situação";"Título";"Descrição";"Data de início";"Data limite";"Atribuído para";"Lotação"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00006657";"h1. Wicked Audio Fone de ouvido circum-auricular Bluetooth sem fio, Endo";"29/04/2024";"31/05/2024";"jluciano";"GR06"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00006658";"h1. Roteador Twibi Force Ax Mesh 1500 Wifi 6 Sem Fio Intelbras

Produto Novo, 100% original e disponível a pronta entrega para todo Brasil. Aprovado pelo INMETRO Mais conexão em ampla área de cobertura sem pontos cegos. Cada módulo adicionado à sua rede Mesh amplia a área de conexão Wi-Fi em até 140m². Ao expandir uma rede com inMesh, você tem uma rede inteligente, com mais qualidade na troca de dados e conexão. Compatível com produtos das linhas Wi-Force, WiFiber e Twibi Force. A tecnologia Wi-Fi 6 oferece mais velocidade, eficiência de rede e menos interferências. Em conjunto com as portas Gigabit do roteador, é ideal para planos de internet de até 600 mega. Compatível com TR-069 e Portal Remotize, ideal para os provedores de internet que buscam soluções robustas e completas. Itens inclusos: - 1 Roteador Wi-Fi Mesh Twibi Force AX 1500 - Intelbras, Sugestões de uso: - Ideal para residencias, comércios, lojas, escritórios entre outros. ----------------------------------------------------- Especificações técnicas: - Cobertura módulo unitário: Até 140m², - Cobertura kit 2 unidades: Até 280m², - Número de dispositivos conectados: Até 128 (sendo 64 em 2,4GHz e 64 em 5GHz), - Plano de internet: Até 600 mega, - Dimensões (A x L x P) mm: 151mm x 170mm x 176mm, - Peso: 277g. Hardware: - 4 antenas internas de 3,5 dBi, - 1 porta WAN/LAN Gigabit, - 1 porta LAN Gigabit, - Chipset Realtek® RTL8197H + RTL8832BR + RTL8367RB, - Memória flash 128 MB, - Memória RAM 128 MB, - SO Linux + Bifrost Intelbras, - Botão RESET/WPS, - Atenção: a função WPS (necessita ser habilitada na interface web). Compatibilidade: - Plataforma Remotize, - Tecnologia inMesh (Protocolo EasyMesh), - Aplicativo Meu Wi-Fi Intelbras, - IPv6 autoconfigurável, - TR-069. Parâmetros Wireless: - Padrões: 2.4GHz IEEE 802.11a/b/g/n/ac ---- 5GHz IEE 802.11a/b/g/n/ac/ax, - Modo do rádio: MU-MIMO bidirecional, Beamforming, OFDMA e TWT, - Modo de operação: Roteador, Repetidor, Ponto de acesso, - Frequência de operação: 2,4 GHz / 5 GHz, - Largura de banda: 2,4 GHz: 20 MHz e 20/40 MHz (com coexistência habilitada por padrão) --- 5 GHz: 20 MHz, 20/40, 20/40/80 MHz (com coexistência habilitada porpadrão), - Taxa de transmissão: 2,4 GHz: até 300 Mbps -- 5 GHz: até 1201 Mbps, - Canais de operação: 2,4 GHz: 1-13 (Brasil) --- 5 GHz: 36, 40, 44, 48, 149, 153, 157, 161, - Potência máxima (E.I.R.P.): 2,4 GHz (n40 MCS7): 251 mW (24 dBm) -- 5 GHz (ac80 MCS9): 223 mW (23.5 dBm) (ax80 MCS11): 177 mW (22.5 dBm), - Sensibilidade de recepção em 2,4 GHz: -64dBm @802.11n 40MHz MCS7, - Sensibilidade de recepção em 5 GHz: -49dBm @802.11ax 80MHz MCS11 -54dBm @802.11ac 80MHz MCS9, - Segurança: Aberta, WPA/WPA2-PSK e WPA2/WPA3 com criptografia AES. Fonte de alimentação interna: - Entrada: 100-240 V a 50/60 Hz, - Saída: 12 V / 1,5 A, - Potência de consumo máxima: 12 W. Armazenamento e operação: - Temperatura de operação: 0°C a 40°C, - Umidade de operação: 10% a 90%, sem condensação, - Temperatura de armazenamento: -40°C a 70°C, - Umidade de armazenamento: 5% a 95%, sem condensação. Caracteristicas & Benefícios: - Tecnologia Wi-Fi 6 AX 1500: protocolo 802.11ax com até 300 Mbps em 2,4 GHz e até 1200 Mbps em 5 GHz, - Tecnologia inMesh: com ela você consegue expandir a área de cobertura de uma rede Wi-Fi formada por roteadores Twibi Force, Wi-Force, ONTs WiFiber e outros produtos compatíveis com inMesh, - Cada módulo cobre áreas de até 140*m² e conecta até 128* dispositivos simultaneamente, - Aplicativo Meu Wi-Fi Intelbras: instale e gerencie e remotamente as informações do seu roteador, - Portas Gigabit: ideal para planos de internet de até 600* mega, - OFDMA: tecnologia que proporciona maior eficiência e menos latência para downloads e uploads simultâneos, sendo ideal para a conexão de múltiplos dispositivos com qualidade, - MU-MIMO bidirecional e Beamforming: mais qualidade da conexão em diversos dispositivos ao mesmo tempo e direcionamento inteligente do sinal, - Alta qualidade. Garantia: 5 anos. Garantia do vendedor: 12 meses

!{max-width:250px; height:auto}https://http2.mlstatic.com/D_NQ_NP_940683-MLB70845751595_082023-F.webp! !{max-width:250px; height:auto}https://http2.mlstatic.com/D_NQ_NP_709694-MLB70813152466_082023-F.webp! !{max-width:250px; height:auto}https://http2.mlstatic.com/D_NQ_NP_653539-MLB70845700509_082023-F.webp!";"29/04/2024";"31/05/2024";"jluciano";"GR06"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00006659";"h1. Roteador Tp-link Tri-band ARCHER AX90 ROUTER AX6600 WIFI 6 TRI-BAND GIGABIT TP LINK

!{max-width:250px; height:auto}https://m.media-amazon.com/images/I/61oJVciTyoL._AC_UL320_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/410ThOzWsmL._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/31cgKInT9sL._AC_.jpg!";"29/04/2024";"31/05/2024";"jluciano";"GR06"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00006660";"h1. 1 Conjunto Suporte Para Telefone De Motocicleta Carregador De Celular Para Clipe De Telefone Scooter Carro Porta Celular Gps Quadro De Braçadeira Saída De Ar Liga De Alumínio";"29/04/2024";"31/05/2024";"jluciano";"GR06"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00006661";"h1. Moto G8 Play Dual SIM 32 GB vermelho-magenta 2 GB RAM

Fotografia profissional no seu bolso Descubra infinitas possibilidades para suas fotos com as 3 câmeras principais de sua equipe. Teste sua criatividade e jogue com iluminação, diferentes planos e efeitos para obter ótimos resultados. Além disso, o dispositivo possui uma câmera frontal de 8 Mpx para que você possa tirar selfies divertidas ou fazer videochamadas. Tudo o que você precisa Sua RAM 2 GB é exatamente o que você precisa para usar as funções mais importantes, como chamadas, enviar mensagens, navegar e executar aplicativos usados com freqüência, como redes sociais ou multimídia. Desbloqueio facial e de impressão digital Máxima segurança para que apenas você possa acessar o sua equipe. Você pode escolher entre o sensor de impressão digital para ativar seu telefone com um toque, ou o reconhecimento facial que permite desbloquear até 30% mais rápido. Vida útil da bateria mais longa Desconecte-se! Com a super bateria de 4000 mAh você terá energia por muito mais tempo para jogar, assistir séries ou trabalhar sem recarregar.

!{max-width:250px; height:auto}https://http2.mlstatic.com/D_NQ_NP_649658-MLA40518962338_012020-F.webp!";"29/04/2024";"31/05/2024";"jluciano";"GR06"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00006662";"h1. VGEBY RC Brushless Motor Set, 3650 3500KV Brushless Motor Set with 60A ESC Pinion Gear Puller Suitable for 1/10 1/8 RC Car Car Model Accessory

!{max-width:250px; height:auto}https://m.media-amazon.com/images/I/416HQX-C3GL.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/31UGVyz-iDL.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/31hTzt3f8TL.jpg!";"29/04/2024";"31/05/2024";"jluciano";"GR06"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00006663";"h1. Bateria Original Motorola Moto G4 Play Xt1603 Xt1604 Gk40 - santaname

Bateria de Celular Original para Telefone Smartphone Motorola Moto G4 play XT1603 XT1604 GK40• Descrição:Bateria GK40 ou BL259 ou BL264Nova, Original com garantiaModelo da bateria: GK40Medida: 6,2cm X 7,4cm X 4mmMarcas de celulares compatíveis: Motorola e Lenovo.Modelos de celular compatíveis: Motorola Moto G4 play XT1600 XT1601 XT1602 XT1607 XT1609 GK40Capacidade da bateria: 2685 a 2800 mAh10.2/10.6 Wh• Especificações:Li ion Bateria3.8V2685 / 2800mAh (min/typ)10.2 / 10.6Wh (min/typ)

!{max-width:250px; height:auto}https://a-static.mlcdn.com.br/280x210/bateria-original-motorola-moto-g4-play-xt1603-xt1604-gk40-santaname/santaname/bateria-gk40/e92fa72a59fcf6bed57fc10db93d6ac6.jpeg! !{max-width:250px; height:auto}https://a-static.mlcdn.com.br/90x90/bateria-original-motorola-moto-g4-play-xt1603-xt1604-gk40-santaname/santaname/bateria-gk40/e92fa72a59fcf6bed57fc10db93d6ac6.jpeg! !{max-width:250px; height:auto}https://a-static.mlcdn.com.br/90x90/bateria-original-motorola-moto-g4-play-xt1603-xt1604-gk40-santaname/santaname/bateria-gk40/90da7d54cd998cacfe39d9a7625aea23.jpeg!";"29/04/2024";"31/05/2024";"jluciano";"GR06"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00006664";"h1. Receptor Transmissor Ethernet HD RJ45, Cabo de Extensão de Interface Multimídia HD 1080p Estável para Console de Jogos (plugue da ue)

1. FULL HD 1080P E GRANDE GAMA: Suporta resolução full HD de até 1080P, taxa de sinal de até 2,5 Gbps. Extensor de Interface Multimídia HD distância máxima de até 60 metros no cabo cat6, cabo Cat5e de até 50 metros, estável e claro. Compatível com o padrão HD Multimedia Interface 1.3. (Cabos Cat5e, Cat6 de alto desempenho são recomendados para garantir um desempenho confiável). ALTA COMPATIBILIDADE: Os cabos extensores de interface multimídia HD são compatíveis com PCs, consoles de jogos, reprodutores de mídia etc. FULL HD 1080P E GRANDE GAMA: Suporta resolução full HD de até 1080P, taxa de sinal de até 2,5 Gbps. Extensor de Interface Multimídia HD distância máxima de até 60 metros no cabo cat6, cabo Cat5e de até 50 metros, estável e claro. Compatível com o padrão HD Multimedia Interface 1.3. (Cabos Cat5e, Cat6 de alto desempenho são recomendados para garantir um desempenho confiável). SEM DELAY: Interface Multimídia HD para extensor RJ45 com chip de alto desempenho, som sincronizado e saída de vídeo sem atraso. Conecte TX ao dispositivo transmissor, RX ao dispositivo receptor e conecte a fonte de alimentação DC5V ao TX ou RX. Basta preparar um cabo RJ45 cat5e, cat6 para conectar TX e RX. Transmissão estável de som e vídeo Full HD. PLUG AND PLAY: Potência unidirecional, utilizamos tecnologia especial para permitir a transferência de energia do cabo conectado ao transmissor e receptor. Apenas um adaptador de energia pode suportar a operação de todo o kit. Suporta plug and play, sem instalação de driver, mais simples e mais conveniente, transmissão estável de som e vídeo. FÁCIL DE USAR: O extensor de Interface Multimídia HD requer apenas um cabo CAT6 para estender o sinal da Interface Multimídia HD até 60 metros. Ele rompe a limitação do comprimento da transmissão por cabo com maior flexibilidade e conveniência. Este dispositivo é amplamente utilizado em sistema de publicidade HD, sistema de conferência, entretenimento doméstico e outras cenas.

!{max-width:250px; height:auto}https://m.media-amazon.com/images/I/51sNG9Ib4rL._AC_UL320_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/31Kg8bO7WeL._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/41z5XgvSsnL._AC_.jpg!";"29/04/2024";"31/05/2024";"jluciano";"GR06"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00006665";"h1. Kit Batt.ria Para Moto X2 Ey30 Frete Gratis Original

Bateria Para MOTOROLA X2 Longa Duração Original Nova Com Garantia Você sabia? Os fabricantes não disponibilizam baterias para reposição... A substituição só pode ser feita por IMEI, sendo vendidas de acordo com o número de série do dispositivo e apenas dentro do período de garantia. No entanto, oferecemos produtos de qualidade original importado e com ciclos de uso zeradosUma excelente e única alternativa para quem precisa substituir a bateria, trabalhamos com seriedade e realizamos testes em todos os produtos antes do envio, garantindo a máxima qualidade. Garantia do vendedor: 3 meses

!{max-width:250px; height:auto}https://http2.mlstatic.com/D_NQ_NP_977601-MLB69620459316_052023-F.webp!";"29/04/2024";"31/05/2024";"jluciano";"GR06"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00006666";"h1. Dji Air2 S   Drone, Single 1 Bateria + Sdcard 256gb

!{max-width:250px; height:auto}https://http2.mlstatic.com/D_NQ_NP_830837-MLB71166735497_082023-F.webp!";"29/04/2024";"31/05/2024";"jluciano";"GR06"
