"Projeto";"Tipo";"Situação";"Título";"Descrição";"Data de início";"Data limite";"Atribuído para";"Lotação"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00004609";"h1. Gimbal Anti-Knock Cover FPV Cover for Protection Accessories Lens Camera Drone Accessories Drone Accessories

!{max-width:250px; height:auto}https://m.media-amazon.com/images/I/31+aQ5ImL+L._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/31gQRDgOPvL._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/41csUVLDpRL._AC_.jpg!";"29/04/2024";"31/05/2024";"joaotavares";"UO021"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00004610";"h1. Carregador Samsung Galaxy Cabo Usb 150 Cm J7 J8 A6  Original

Carregador Original Samsung 1,55 Ampere com cabo Micro Usb de 150cm Compatível com Galaxy A02, J7, J8 entre outros modelos com entrada Micro USB. Nós só trabalhamos com produtos Originais e nas Imagens são reais do próprio produto! Adquirimos esse produtos diretamente da fábrica da Samsung aqui no Brasil! E eles vem em uma embalagem plástica lacrado, cada peça separada, Cabo e Fonte, e juntamos para fazer o kit completo do Carregador. Esse modelo NÃO é Turbo, é Carga de 1,55 Ampére conforme mostra a Própria imagem do produto. Garantia do vendedor: 30 dias

!{max-width:250px; height:auto}https://http2.mlstatic.com/D_NQ_NP_747064-MLB49954736966_052022-V.webp! !{max-width:250px; height:auto}https://http2.mlstatic.com/D_NQ_NP_747064-MLB49954736966_052022-F.webp!";"29/04/2024";"31/05/2024";"joaotavares";"UO021"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00004611";"h1. Kit carregador turbo 40w gold pró

CARREGADOR TURBO COM ENTRADA USB + TIPO C PARA LIGHTNING

!{max-width:250px; height:auto}https://a-static.mlcdn.com.br/280x210/kit-carregador-turbo-40w-gold-pro/assisteccelularessjb/70555e80b95711ee95374201ac185040/0e7a743ec08727489611f763ed56f503.jpeg! !{max-width:250px; height:auto}https://a-static.mlcdn.com.br/90x90/kit-carregador-turbo-40w-gold-pro/assisteccelularessjb/70555e80b95711ee95374201ac185040/0e7a743ec08727489611f763ed56f503.jpeg! !{max-width:250px; height:auto}https://a-static.mlcdn.com.br/90x90/kit-carregador-turbo-40w-gold-pro/assisteccelularessjb/70555e80b95711ee95374201ac185040/d4fae080619757872d2ee63bf06af0ec.jpeg!";"29/04/2024";"31/05/2024";"joaotavares";"UO021"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00004612";"h1. Fones Ouvido Bluetooth Branco Envio Imediato P/ SAM A31 - HM PRO

Um dos fones de ouvido Bluetooth mais tops do mercado, com excelente custo benefício que vai trazer qualidade de som, portabilidade, estilo e performance para seu dia-a-dia. Postamos realmente muito rápido para que você consiga receber o produto o mais rápido possível, esse é um dos nossos diferenciais dentro da proposta do anúncio, pois um dos piores sentimentos é ficar aguardando uma postagem demorada, não é mesmo? Produto a pronta entrega com postagem em até 24 horas úteis a contar da confirmação automática de pagamentos. Estamos posicionados para postar seu produto realmente de forma rápida e eficaz. Esse anúncio é ideal para quem gosta de lojas que realizam a postagem rápida e com qualidade, pois esse é o nosso método de trabalho. Fone de ouvido compatível, ou seja, ele vai servir perfeitamente para o modelo indicado no anúncio, sendo um produto genérico que é feito por uma empresa diferente do fabricante do smartphone. Esse fone Bluetooth não tem nenhuma relação com o fabricante do smartphone, no entanto funciona perfeitamente no modelo informado. Fone de ouvido bluetooth especialmente desenvolvido para pessoas leigas, que tem maior dificuldade no pareamento de produtos do tipo bluetooth, pois ele tem como característica a facilidade em realizar o pareamento do fone Bluetooth. Para fazer o pareamento desse fone bluetooth é muito simples: 1- Carregue totalmente o Fone Bluetooth2- Deslique o Bluetooth do Smartphone3- Após carregado, retire ambos fones da caixinha e aguarde 5~10 segundos4- Ligue o Bluetooth do Smartphone5- Faça o pareamento de forma simples O fone de ouvido tem boa bateria, podendo durar várias horas em uso intermitente, a 80% de volume. Funciona tanto o aúdio em apenas um dos lados como também vai funcionar naturalmente dos dois lados sendo uma característica muito interessante pois várias pessoas gostam de usar os fones em apenas um dos lados. A caixinha carregadora permite também que os fones fiquem carregando enquanto você não está usando, sendo que o carregamento da caixinha pode ser tanto através de porta USB ou tomadinha (Não incluso). Itens inclusos no pacote:- 1 Par de fones de ouvido Bluetooth (Branco)- 1 Ótima caixa carregadora- 1 Mini Manual de Instruções

!{max-width:250px; height:auto}https://a-static.mlcdn.com.br/280x210/fones-ouvido-bluetooth-branco-envio-imediato-p-sam-a31-hm-pro/lojasuprint2/7802444926822/f8ca944c54489151c79dec08cf9097ab.jpeg! !{max-width:250px; height:auto}https://a-static.mlcdn.com.br/90x90/fones-ouvido-bluetooth-branco-envio-imediato-p-sam-a31-hm-pro/lojasuprint2/7802444926822/f8ca944c54489151c79dec08cf9097ab.jpeg! !{max-width:250px; height:auto}https://a-static.mlcdn.com.br/90x90/fones-ouvido-bluetooth-branco-envio-imediato-p-sam-a31-hm-pro/lojasuprint2/7802444926822/02b9e334fb016a1ce93211e6eca0d27f.jpeg!";"29/04/2024";"31/05/2024";"joaotavares";"UO021"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00004613";"h1. Maca Sirius 70cm Legno Maleta, Portátil - Reforçada Cabo Aço

!{max-width:250px; height:auto}https://http2.mlstatic.com/D_NQ_NP_820350-MLB51702493412_092022-F.webp!";"29/04/2024";"31/05/2024";"joaotavares";"UO021"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00004614";"h1. Mini Drone Dobrável S96 Optical Flow Obstacle - Câmera Única

Câmera 4K HD Quadricóptero FPV de 4 lados para evitar obstáculos Drone FPV de 2,4 GHz Modo sem cabeça Drone de controle remoto 3D Flip - Câmera única Característica: 1. Funções básicas: decolagem com uma tecla, pouso com uma tecla, subida e descida, para frente e para trás, voo para a esquerda e para a direita, direção, modo sem cabeça, rotação com uma tecla, correção com uma tecla (com câmera, funções adicionais: foto gestual, vídeo, modo sem cabeça, parada de emergência, voo de trajetória, detecção de gravidade, captura automática de fotos) 2. Imagens HD e vídeo em tempo real: equipado com câmera Wi-Fi 4K HD, que pode fotografar a 90° de cabeça para baixo. Tire fotos e vídeos aéreos melhores, com a transmissão FPV, você pode ver o céu a partir de um vídeo ao vivo por meio de um aplicativo de smartphone . 3. 3D Flip e APP Control: Depois de pressionar o botão de rolagem, pressione o joystick para dentro para realizar um giro impressionante, desenhe uma trajetória de voo em seu smartphone e o drone voará adequadamente, adicionando diversão. Desligue o controle remoto e use diretamente o APP para controlar diretamente o drone para voar. 4. Função de proteção de UAV: evitação de obstáculos por indução infravermelha de quatro lados, mais adequada para iniciantes praticarem voo, para garantir que o drone não colida facilmente ao voar e ocorra um acidente. O posicionamento óptico do fluxo torna o drone mais estável ao voar, mais fácil de manter o estado de voo em grandes altitudes e mais fácil de controlar. 5. O melhor presente: o drone é muito pequeno e pesa apenas 70g, o que é muito adequado como brinquedo infantil. As crianças precisam estar acompanhadas por um adulto para operar o drone e evitar acidentes. A bateria modular de 600mAh pode fornecer energia por cerca de 12 minutos. Embalado em uma linda caixa colorida, é perfeito para presentes de Natal Especificação: Origem: China continental Idade recomendada: 12+ anos Características: Wi-Fi, controle de aplicativos, prevenção de obstáculos, capaz de FPV, câmera integrada Estado de montagem: pronto para uso Material: plástico, metal O pacote inclui: controle remoto, baterias, câmera, caixa original, instruções de operação, cabo USB Fotografia aérea: Sim Tipo: HELICÓPTERO Controle remoto: Sim Fonte de alimentação: Motor elétrico: Canais de controle do motor da escova: 4 canais Certificação: CE Número do modelo: Modo de controlador de drone RC: MODE2 Tipo de montagem de câmera: montagem de câmera fixa Uso interno/externo: operador interno/externo Nível de habilidade: Iniciante Resolução de captura de vídeo: 4K UHD Modo de operação: controle remoto/controle de aplicativo Frequência: 2,4 GHz Tamanho do corpo: (desdobrado) 20x16x6 cm/7,87x6,3x2,36 polegadas, (dobrado) 7x8,5x6 cm/2,76x3,35x36 polegadas, (dobrado) 7x8,5x6 cm/2,76x3,35x36 polegadas, (dobrado) Peso de máquina única de 2,36 polegadas: 70 g (incluindo bateria) Distância do controle remoto: cerca de 100 m Resolução de vídeo: câmera única de 4K/câmera dupla de fluxo óptico de 4K Engrenagem de velocidade: lento/médio/rápido Número de baterias: 1 unidade, 2 unidades, 3 unidades Informações sobre uma única bateria: Capacidade da bateria do drone: bateria modular de 3,7 V 600 mAh Tempo de carregamento do drone: cerca de 60 minutos Tempo de voo do drone: cerca de 12 minutos Método de carregamento : interface USB universal Nota: Devido aos diferentes monitores e efeitos de luz, a cor real do item pode ser ligeiramente diferente da cor mostrada nas fotos. Obrigado! Por favor, permita um desvio de medição de 1-2 cm devido à medição manual. Pacotes: 1 x drone RC 1 x transmissor de controle remoto 1 conjunto X bateria corporal 1 conjunto X pás de ventilador sobressalentes 1 x cabo USB 1 x chave de fenda 1 x manual 1 x câmera HD embutida 1 x manual WiFi 1 x bolsa de armazenamento Garantia do vendedor: 6 meses

!{max-width:250px; height:auto}https://http2.mlstatic.com/D_NQ_NP_738457-CBT54818927328_042023-F.webp!";"29/04/2024";"31/05/2024";"joaotavares";"UO021"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00004615";"h1. Carregador Turbo 20W + Cabo Lightning para USB-C Compatível Iphone 11 12 13 Pro Max X XR XS - KAIDI

Carregador Turbo 20W + Cabo Lightning para USB-C Compatível Iphone 11 12 13 Pro Max X XR XSO carregador de parede USB-C de 20W é rápido e altamente eficiente, ideal para acompanhá-lo onde você estiver, no trabalho, em casa ou em viagens. Carregue qualquer aparelho que possua uma porta USB-C com ainda mais velocidade. Você também pode emparelhá-lo com o iPhone 8 ou posterior para aproveitar o recurso de CARREGAMENTO RÁPIDO. Kit acompanha Cabo USB-C para LightningHomologação:Carregador homologado ANATEL, garantindo ao consumidor a aquisição e o uso de produtos para telecomunicações que respeitam padrões de qualidade, de segurança e de funcionalidades técnicas regulamentadas.CaracterísticasModelo: KD-108CCor: BrancoEspecificaçõesEntrada: 100-240V (50/60Hz) | 0.5ASaídas: uma saída USB-CSaída: 5V --- 3A | 9V --- 2.22APotência total: 20W (máx)Carregamento rápido e eficienteCom conector metálico para otimizar a passagem de energia.CompatibilidadeiPhone 12, 12 Pro, 12 Pro Max e 12 miniiPhone 11, 11 Pro e 11 Pro Max.iPhone SE (2a geração)iPhone XS e XS MaxiPhone XRiPhone XiPhone 8 e 8 PlusDimensõesTamanho aproximado (AxLxP): 10 x 10 x 10 cmPeso aproximado: 100 gramasItens Inclusos1x Carregador de Parede USB-C - KAIDI KD108A1x Cabo Lightning X USB-C (3o Geração) KAIDILembre-se de verificar a compatibilidade do carregador com o seu aparelho!Garantia:Garantia de 3 meses a partir da data de emissão da Nota Fiscal ao consumidor.

!{max-width:250px; height:auto}https://a-static.mlcdn.com.br/280x210/carregador-turbo-20w-cabo-lightning-para-usb-c-compativel-iphone-11-12-13-pro-max-x-xr-xs-kaidi/eletrodu/15895584814/784703382593ae3e2b878c8daf56918a.jpeg! !{max-width:250px; height:auto}https://a-static.mlcdn.com.br/90x90/carregador-turbo-20w-cabo-lightning-para-usb-c-compativel-iphone-11-12-13-pro-max-x-xr-xs-kaidi/eletrodu/15895584814/784703382593ae3e2b878c8daf56918a.jpeg! !{max-width:250px; height:auto}https://a-static.mlcdn.com.br/90x90/carregador-turbo-20w-cabo-lightning-para-usb-c-compativel-iphone-11-12-13-pro-max-x-xr-xs-kaidi/eletrodu/15895584814/42740ec2ddc5a454c908fd928f33cb90.jpeg!";"29/04/2024";"31/05/2024";"joaotavares";"UO021"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00004616";"h1. Roteador Tp-link Archer Ex220 Preto Ax1800 Wireless

!{max-width:250px; height:auto}https://http2.mlstatic.com/D_NQ_NP_678538-MLB52007472197_102022-F.webp!";"29/04/2024";"31/05/2024";"joaotavares";"UO021"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00004617";"h1. Cabo carregador pulseira inteligente, cabo de carregamento preto plástico anti-interferência 55 cm/21,7 pol. comprimento para carga 4";"29/04/2024";"31/05/2024";"joaotavares";"UO021"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00004618";"h1. Fone Ouvido Bluetooth Kaidi Kd-904 Original Stereo

FONE DE OUVIDO KAIDI Marca: Kaidi Modelo: KD904 Código: 1100035 / 1100036 Referência: KD904 Tamanho: Único Material: ABS, Alumínio Tipo: In-Ear (Intra Auricular) Peso: 20g Microfone: Sim Bluetooth: Sim Radio: Não Cartão de Memória: Não Bateria: Li-polímero - Versão: Bluetooth v4.2 Duração da Musica: 4 horas Duração em Ligação: 6 horas Tempo de carregamento: 1 hora

!{max-width:250px; height:auto}https://a-static.mlcdn.com.br/90x90/fone-ouvido-bluetooth-kaidi-kd-904-original-stereo/yamibrigs/0d1fd90e832811ee9ff04201ac185040/65ade6c4e6696cf56c30489ae7d8fc65.jpeg! !{max-width:250px; height:auto}https://a-static.mlcdn.com.br/90x90/fone-ouvido-bluetooth-kaidi-kd-904-original-stereo/yamibrigs/0d1fd90e832811ee9ff04201ac185040/2fb8ca0d4e599766b31d7c525dab5b23.jpeg!";"29/04/2024";"31/05/2024";"joaotavares";"UO021"
