"Projeto";"Tipo";"Situação";"Título";"Descrição";"Data de início";"Data limite";"Atribuído para";"Lotação"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00007681";"h1. Suitable ForDJI Mini 3 Pro Night Light LED Searchlight Flashlight Fill Light Night Flight for Drone Fill Light Stand Beacket

5. The product is not charged, and the customer needs to provide an additional 7 (AAA) battery. 3. The bracket part is made of 3D printing, plastic material, and the part in contact with the fuselage is pasted with sponge, which effectively protects the drone- from being scratched, and the installation is convenient and quick, 2. The screw adjustment method is adopted, and the angle of the flashlight can be easily adjusted, allowing the flight to have more search angles, 1. The total weight of the night light bracket and flashlight without battery is about 60g, and the Mini3 can fly normally after installation, 4. The night navigation light adopts CREE XPE-R3 lamp beads, the brightness is 120LM, the service life is long, the brightness is high, the size is small and the installation is simple, and the power supply adopts a AAA7 battery to facilitate energy saving,

!{max-width:250px; height:auto}https://m.media-amazon.com/images/I/31BaHqIZtxL._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/318xBhkNWAL._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/31gPFwRo31L._AC_.jpg!";"29/04/2024";"31/05/2024";"josemarcelo";"GR09"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00007682";"h1. Kit Receptor Digital Satmax Elsys + Antena Lnbf Quadruplo Ku

!{max-width:250px; height:auto}https://http2.mlstatic.com/D_NQ_NP_958955-MLB53948843722_022023-F.webp!";"29/04/2024";"31/05/2024";"josemarcelo";"GR09"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00007683";"h1. Celular Xiaomi Redmi 12 256gb 8gb Ram Smartphone Lançamento

!{max-width:250px; height:auto}https://http2.mlstatic.com/D_NQ_NP_631876-MLB70824094743_082023-F.webp!";"29/04/2024";"31/05/2024";"josemarcelo";"GR09"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00007684";"h1. Smartphone Hot 30i 4g 128gb 8gb Ram Cmera 50mp Infinix

!{max-width:250px; height:auto}https://http2.mlstatic.com/D_NQ_NP_761183-MLB72619539337_112023-F.webp!";"29/04/2024";"31/05/2024";"josemarcelo";"GR09"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00007685";"h1. Capa traseira de couro com compartimento para cartão padrão borboleta para Samsung iPhone Flip Case (verde, Samsung Quantum2/A82 5G)";"29/04/2024";"31/05/2024";"josemarcelo";"GR09"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00007686";"h1. Roteador TP-Link Wireless AC1300 CX 3 UN – Deco M5

!{max-width:250px; height:auto}https://m.media-amazon.com/images/I/31WTAe-TdYL._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/31-QWntV7TL._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/31bdQlsztUL._AC_.jpg!";"29/04/2024";"31/05/2024";"josemarcelo";"GR09"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00007687";"h1. SOLUSTRE Caixa De Placa Gráfica Para Rack De Placa Gráfica Para PC Caixa De Substituição De Rack De Computador Caixa De Computador Ao Ar Livre Suporte De Placas Gráficas Caixa De

!{max-width:250px; height:auto}https://m.media-amazon.com/images/I/31+qXVUXSJL._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/41q64fEjBuL._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/41gpZrNzpkL._AC_.jpg!";"29/04/2024";"31/05/2024";"josemarcelo";"GR09"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00007688";"h1. Uwariloy Carregador Base, Carregamento Reposição Relógio Inteligente, Suporte Carregador com Ampla Aplicação com Função Carregamento Eficiente e Estável para Carga Automática";"29/04/2024";"31/05/2024";"josemarcelo";"GR09"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00007689";"h1. Obuyke 1 PC Adaptador De Carro Mp3 Adaptador Sem Fio Sem Fio Carro Mp3 Player Transmissor De Rádio Adaptador De Carro Sem Fio Black Chip Fm F2 Abs Music Player

!{max-width:250px; height:auto}https://m.media-amazon.com/images/I/412rUkTKP3L._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/41LA0VeUbBL._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/51gVmPEbn4L._AC_.jpg!";"29/04/2024";"31/05/2024";"josemarcelo";"GR09"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00007690";"h1. Conversor Rca Acionamento Automático 4 Canais - Falcon Fc4x

!{max-width:250px; height:auto}https://http2.mlstatic.com/D_NQ_NP_872503-MLU69916641337_062023-F.webp!";"29/04/2024";"31/05/2024";"josemarcelo";"GR09"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00007691";"h1. lifcasual Suporte para tripé de rotação de 360 graus portátil Suporte para suporte de telefone celular Adaptador de suporte de montagem de clipe Suporte de braçadeira universal para smartphone preto

Características: Você pode ajustar o suporte do telefone celular na melhor posição para assistir vídeos, ler, gravar vídeos ou operar as mãos livres Especificação: Item: Suporte para telefone Lista de Pacotes: 1 * Suporte para telefone Você pode ajustar o suporte do telefone celular na melhor posição para assistir vídeos, ler, gravar vídeos ou operar com as mãos livres. O tripé do telefone pode proteger seu dispositivo contra arranhões e deslizamentos, manter uma melhor estabilidade e ser seguro para uso, não importa o ângulo de visão que você coloque. Este suporte para celular é compatível com a maioria dos smartphones, que possuem uma grande variedade de aplicações. As mãos livres permitem jogar jogos, usar para assistir a um filme enquanto carrega. Desempenhe um bom papel no seu escritório, cozinha, mesa de cabeceira, mesa de jantar. Pequeno e leve o suficiente, você pode carregá-lo facilmente em viagens de longa ou curta distância.

!{max-width:250px; height:auto}https://m.media-amazon.com/images/I/61OlWpZz9TL._AC_UL320_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/31CpAxgUS2L._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/31X7LGsquBL._AC_.jpg!";"29/04/2024";"31/05/2024";"josemarcelo";"GR09"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00007692";"h1. Carregador Compativel Com Xiaomi Usb-c 12 Pro 12t Pro 11t X5

Carrega qualquer celular com entrada USB-C (TYPE-C). NÃO COMPRE ERRADO Compatível com todos os celulares com a entrada: USB-C, TIPO-C, TYPE-C, até 120wts Produto Pronta Entrega Caracteristicas: Tensão de Entrada: 110/220 Tensão de Saida: 5V 3A / 9V 2A / 12V 1.5A Função Quick Charge: Sim 3.0 Cabo Typo C Comprimento do Cabo: 1 Metro ATENÇÃO: A função turbo não depende apenas do cabo, seu celular e carregador devem estar aptos para operar com a função Turbo. ITENS INCLUSOS 1 Carregador Para Xiaomi e Cabo USB-C (TYPE-C) 1 METRO

!{max-width:250px; height:auto}https://http2.mlstatic.com/D_NQ_NP_967608-MLB70516545855_072023-F.webp!";"29/04/2024";"31/05/2024";"josemarcelo";"GR09"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00007693";"h1. For Nokia G400 Original Battery Back Cover(Black)

Simples, confortável e fácil de transportar. Proteja completamente seu equipamento contra arranhões normais, sujeira e abrasão. Novas costuras duráveis são mais duráveis O serviço pós-venda é muito bom.Por favor, preste atenção ao modelo de telefone antes de comprar. For Nokia G400 Original Battery Back Cover(Black)

!{max-width:250px; height:auto}https://m.media-amazon.com/images/I/51iCziziD5L._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/31O32wZZrWL._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/41PA-smVfJL._AC_.jpg!";"29/04/2024";"31/05/2024";"josemarcelo";"GR09"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00007694";"h1. Caixa de som bluetooth Rock Space S22 - Preto";"29/04/2024";"31/05/2024";"josemarcelo";"GR09"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00007695";"h1. Carregador Universal Ultra Rápido 1 Porta USB-C (PD) 20W Quick Charge 18W, Verde iWill

Compatível com o carregamento dos iPhones 12 e superiores, o PD Charger é um adaptador de parede com uma saída USB-C Power Delivery. Carrega o aparelho de maneira muito mais eficiente, tem uma potência total de 20W. Possui proteção compatível com o padrão brasileiro de plugues e tomadas e conector metálico para otimizar a passagem de energia. GARANTIA DE 2 ANOS 1 porta USB tipo C Potência de saída total: 20W (máx) Voltagem de entrada: 100-240V (50/60 Hz) - 0.5A Saída 5V — 3A | 9V — 2.22A Tecnologia Power Delivery: Distribuição de energia via USB-C, que transforma a conexão em um verdadeiro entregador de energia, tornando-a mais rápida e eficiente

!{max-width:250px; height:auto}https://m.media-amazon.com/images/I/41l0kvyv8hL._AC_UL320_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/319CyVL1IDL._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/21kEFDnCbjL._AC_.jpg!";"29/04/2024";"31/05/2024";"josemarcelo";"GR09"
