"Projeto";"Tipo";"Situação";"Título";"Descrição";"Data de início";"Data limite";"Atribuído para";"Lotação"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00011777";"h1. Carregador Genuíno Galaxy Note 10 A70 A80 De 3 Ampere E 25 W

!{max-width:250px; height:auto}https://http2.mlstatic.com/D_NQ_NP_934988-MLB45300023914_032021-F.webp!";"29/04/2024";"31/05/2024";"marcosrg";"UO072"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00011778";"h1. Acessórios de Câmera Drone Filtro MCUV para DJI Mavic 3

Â Características: Material da lente: Vidro óptico Material da moldura: Alumínio super leve Compatível com DJI Mavic 3 e DJI Mavic 3 Cine Drone

!{max-width:250px; height:auto}https://m.media-amazon.com/images/I/31vKhDKX9DL._AC_UL320_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/21cT8JPWoVL._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/31LhsXHrIXL._AC_.jpg!";"29/04/2024";"31/05/2024";"marcosrg";"UO072"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00011779";"h1. Bateria 1800 Mah 3,7 Gps 7 Polegadas 3 Fios - bgb

Bateria 1800 Mah 3,7 Gps 7 Polegadas 3 Fios

!{max-width:250px; height:auto}https://a-static.mlcdn.com.br/280x210/bateria-1800-mah-37-gps-7-polegadas-3-fios-bgb/bgbarreto/252194eac4cc11ed933b4201ac18502f/bec026991a3c3615b16066494fdd2ccc.jpeg! !{max-width:250px; height:auto}https://a-static.mlcdn.com.br/90x90/bateria-1800-mah-37-gps-7-polegadas-3-fios-bgb/bgbarreto/252194eac4cc11ed933b4201ac18502f/bec026991a3c3615b16066494fdd2ccc.jpeg!";"29/04/2024";"31/05/2024";"marcosrg";"UO072"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00011780";"h1. Transponder Receptor Marítimo de Canal Duplo AIS para Transceptor de Barcos-AIS Com Recepção DSC

Canal duplo: o transceptor AIS tem dois receptores TDMA que podem receber dados em dois canais independentes simultaneamente. Multifunção: função CSTDMA para evitar conflitos de comunicação, interface de dados serial externa (RS422, RS232), transmite e recebe mensagens de segurança, equipada com botão de segurança SOS. 3 Modos: O transceptor AIS suporta o modo de sentido Carrier, modo atribuído e modo pesquisado. Receptor GPS: Receptor GPS interno, pode ser conectado a todos os dispositivos compatíveis com GPS e PC, PDA, ECDIS, RADAR, etc. Alarme e Indicação: O receptor AIS suporta recepção DSC baseada no canal TDMA, com alarme e indicação de LED para energia, erro, tempo limite, status, mais prático.

!{max-width:250px; height:auto}https://m.media-amazon.com/images/I/41x+3jYqHnL._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/51rzxiTg8VL._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/51X0tHJv43L._AC_.jpg!";"29/04/2024";"31/05/2024";"marcosrg";"UO072"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00011781";"h1. Bateria de substituição compatível para Samsung AA-PLVN4AR 7,6V 55Wh ATIV Book 9 Plus 940X3G NP940X3G-K01US NP940X3G-K04US K05US K03HK Series BA43-00364A

1. Antes de usar a nova bateria corretamente, descarregue a capacidade em cerca de 10% e preencha o ciclo de 3 a 4 vezes. Não descarregue a 0%. Isso fará com que a bateria quebre facilmente 2. Ao usar a bateria, carregue-a imediatamente quando a bateria acabar. Se você não carregar por um longo tempo, a bateria pode estar danificada, portanto, tenha cuidado com a exposição e a umidade 3. Não desmonte, esmague ou perfure as pilhas. Não descarte as pilhas no fogo ou na água 4. Se você não usar as baterias por um longo tempo, precisará carregá-las pelo menos 70% e armazená-las por pelo menos 3 meses, e o tempo de armazenamento deve ser cumprido mesmo após 3 meses 5. Reembolso total ou devolução dentro de 30 dias e garantimos 1 ano de garantia

!{max-width:250px; height:auto}https://m.media-amazon.com/images/I/31Lzx1F3F0L._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/41ag7ltK0EL._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/51BByt2L--L._AC_.jpg!";"29/04/2024";"31/05/2024";"marcosrg";"UO072"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00011782";"h1. microfone,mewmewcat Leve Headworn Headset Microfone Condensador Microfone de 3 pinos Mini XLR Plug para Transmissor Bodypack Sem Fio

Altamente sensível, alta dinâmica e ampla resposta de frequência. O microfone do fone de ouvido condensador com plugue mini XLR de 3 pinos é compatível com o transmissor bodypack sem fio. O design montado na cabeça oferece liberdade de movimento e desempenho. Ampla aplicação, pode ser usada para fala, ensino, interpretação de guias turísticos, etc. Com pára-brisas de espuma para reduzir efetivamente o ruído ambiental.

!{max-width:250px; height:auto}https://m.media-amazon.com/images/I/31hA43zRJiL._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/31IkaGZ5e+L._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/41lUDqzgm7L._AC_.jpg!";"29/04/2024";"31/05/2024";"marcosrg";"UO072"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00011783";"h1. FWEOOFN Leitor de gravação, decoração de casa, toca-discos de gramofone azul, estéreo e portátil, alto-falantes Bluetooth estéreo

Material: metal, pele PU, MDF, movimento triangular de alumínio, rubi. ?coleta. Embalagem dura, 90 kg para suportar a deformação, protege efetivamente a máquina contra danos durante o transporte. Dimensões: 35 * 25,5 * 13 cm Função: PH / INT / BT, potência de saída estéreo 2.0 de 0,6 * 0,6 watts. Material: metal, pele PU, MDF, movimento triangular de alumínio, rubi? ?coleta. Suporta três tipos de velocidade: 33,45,78. O rubi compatível piezoelétrico ? ?diâmetro da agulha: 18 cm, 25 cm. 30 cm.

!{max-width:250px; height:auto}https://m.media-amazon.com/images/I/51q1yMD1MlL._AC_UL320_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/31IQ4C42uFL._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/31UkfrW+QTL._AC_.jpg!";"29/04/2024";"31/05/2024";"marcosrg";"UO072"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00011784";"h1. Transmissor receptor de áudio, transmissor Bluetooth sem fio para sistema de som automotivo para sistema de som doméstico

!{max-width:250px; height:auto}https://m.media-amazon.com/images/I/31UQoRi1nkL._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/413UAMU8HmL._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/31q0zrpi5ZL._AC_.jpg!";"29/04/2024";"31/05/2024";"marcosrg";"UO072"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00011785";"h1. Jopwkuin Fone de ouvido Bluetooth, fone de ouvido Bluetooth com compartimento de carregamento, experiência de audição sem costura, Bluetooth 5.0, proteção antiintensiva para casa";"29/04/2024";"31/05/2024";"marcosrg";"UO072"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00011786";"h1. LiPo Battery, Long Cycle Life LiPo Battery 11.1V Rechargeable with XT60 Plug for RC Crawler(11.1V 4500mAh 60C XT60 Plug)";"29/04/2024";"31/05/2024";"marcosrg";"UO072"
