"Projeto";"Tipo";"Situação";"Título";"Descrição";"Data de início";"Data limite";"Atribuído para";"Lotação"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00002049";"h1. Smartphone Dual SIM, Smartphone de 6,1 pol. 4 GB 32 GB 16 MP Traseira 8 MP Câmera Frontal para Trabalho (plugue da ue)

!{max-width:250px; height:auto}https://m.media-amazon.com/images/I/41WSJHk9-fL._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/51jXXbepBJL._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/41iWBg7j6YL._AC_.jpg!";"29/04/2024";"31/05/2024";"parazi";"FIGF2"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00002050";"h1. Fechadura Digital Biométrica ELG Inteligente Com 5 Modos

!{max-width:250px; height:auto}https://http2.mlstatic.com/D_NQ_NP_822529-MLU72637064799_112023-F.webp!";"29/04/2024";"31/05/2024";"parazi";"FIGF2"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00002051";"h1. Hemobllo Caixa Suporte De Telefone Do Painel De Instrumentos Recipiente De Painel De Carro Organizador De Painel De Carro Acessórios Para Painel De Carro Armazenar Bandeja Abdômen

Contêiner de painel automático - feito de material abs premium, é estável, durável e conveniente de usar quando você está dirigindo. Suporte para telefone para carro - também uma caixa de armazenamento, você pode armazenar alguns itens pequenos, como chaves, moedas, cartões, carteira, etc. Suporte para telefone no painel automático - não deixará vestígios quando removido e não afetará a visão de direção e garante a segurança ao dirigir. Bandeja de armazenamento do painel do carro - design razoável e bom acabamento fazem com que lhe proporcione uma boa experiência. Bandeja de painel automático - fácil instalação, sem requisitos técnicos. - amigável, antiderrapante, resistente a rugas, fácil de limpar.

!{max-width:250px; height:auto}https://m.media-amazon.com/images/I/515sSYPJYoL._AC_UL320_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/41r1ZH9cqPL._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/41PzMVx978L._AC_.jpg!";"29/04/2024";"31/05/2024";"parazi";"FIGF2"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00002052";"h1. OFFSCH 1 Unidade Cabo De Áudio Estéreo Fixação De Cabo Fio De Conexão De Áudio Fio De Áudio Jack Trs Para Cabo Adaptador Divisor De Áudio y Guitarra Elétrica Banhado a Macho";"29/04/2024";"31/05/2024";"parazi";"FIGF2"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00002053";"h1. 64 teclas teclado mecânico branco com luz de fundo, bluetooth/com fio/sem fio 2.4g teclado mecânico para jogos, vários modos de iluminação, para windows series para os x para(Interruptor Azul)

!{max-width:250px; height:auto}https://m.media-amazon.com/images/I/41vbkrCjRZL._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/51+wvvGR9EL._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/51GmUlHClRL._AC_.jpg!";"29/04/2024";"31/05/2024";"parazi";"FIGF2"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00002054";"h1. Caixinha De Som Para Pc Com Entrada P2 Usb

O Som Caixinha de som para pc com entrada p2 usb oferece um som natural, com grande clareza e precisão, que é uniformemente disperso. Um alto-falante que garante potência e qualidade por igual na reprodução de conteúdos multimídia. Mãos livres Este recurso facilita a continuação do uso do smartphone mesmo quando ele esteja conectado ao alto-falante. Atender, fazer ou ignorar chamadas são algumas das ações que podem ser feitas diretamente com os botões do seu Caixinha de som para pc com entrada p2 usb, sem desconectar nem tocar o telefone.

!{max-width:250px; height:auto}https://http2.mlstatic.com/D_NQ_NP_629455-MLB50763699938_072022-F.webp!";"29/04/2024";"31/05/2024";"parazi";"FIGF2"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00002055";"h1. Tablet Infantil Positivo 32gb Memória 1gb Controle Parental

ATENÇÃO: O produto do anúncio possui alguns pequenos detalhes estéticos na tela e na tampa que não interferem no uso, esses detalhes foram causados pelo armazenamento na fábrica. O tablet é testado antes do envio, está disponível para pronta entrega, possui garantia de 90 dias e acompanha nota fiscal! Não acompanha capas, não é enviado na caixa dos Minions. __________________________________ Tablet Positivo Minions Processador Quad-Core 1GB de Memória RAM e 32GB de Armazenamento 7” com Wifi e Controle Parental O Tablet Positivo foi desenvolvido para levar para você um produto de qualidade, excelente custo-benefício e muita praticidade, além da personalização de toques, notificações e alarme, com as vozes de BOB e Stuart. Com ele as crianças poderão navegar na internet, ver vídeos, acessar informações, estudar e se divertir com diversos jogos. Sua configuração traz um processador de alto desempenho e capacidade de 32GB para armazenar muitas fotos, vídeos, arquivos e seus aplicativos favoritos. Se precisar, você pode expandir esse armazenamento através de um cartão micro SD de até 64GB (não incluso). Seu design é moderno e compacto e conta com uma tela LCD de 7'' que reproduz todos os conteúdos com imagens vivas e nítidas. Além disso, você também pode aproveitar a conectividade Wi-Fi, a câmera frontal para fazer selfies, além do sistema operacional Android que proporciona um melhor desempenho para seu tablet. Condição dos componentes: - Tampa: Riscos - Tela: Riscos - Bateria: OK, (duração média em vídeo: 2h, duração média em jogos: 1h30) Conteúdo da embalagem: - 1 Tablet Twist Tab - 1 Carregador USB - 1 Cabo USB Não acompanha capa e outros acessórios, não é enviado na caixa dos Minions. Especificações: - Fabricante: Positivo - Tela: LCD 7 polegadas WSVGA (1024x600), plano de fundo dos Minions - Processador: Quad-core Cortez-A35 1,5GHz - Memória RAM: 1GB - Armazenamento: 32GB, suporta cartão SD de até 64GB (cartão não incluso) - Sistema operacional: Android - Aplicativos: PlayStore, Chrome, Canal Positivo, YouTube Go (suporta Roblox e TikTok, não instalados) - Rede: WiFi 802.11 b/g/n - Resolução Câmera Frontal: 2MP - Sensores: Acelerômetro - Bateria: 2.400 mAh, Li-Po - Controle parental: Sim (Os responsáveis podem controlar e aprovar o que a criança está assistindo) - Dimensões: 189,2 x 103 x 9,3 mm Portas e Conexões: - 1x MicroSD (até 64GB, formatado em Android OS) - 1x Fone de ouvido 3,5 mm - 1x Micro-USB 2.0 para transferência de arquivos e carregamento do aparelho. Dúvidas Frequentes: - Produto novo? Sim, produto novo com detalhes estéticos causados pelo armazenamento na fábrica - Possui garantia? Sim, possui 90 dias de garantia para defeitos de fabricação - Disponível à pronta entrega? Sim, os nossos produtos são à pronta entrega e enviados em até 24 horas (dias úteis) - Acompanha nota fiscal? Sim, acompanha nota fiscal (não emitimos nota para CNPJ do RS e AM) - Produto original? Sim, trabalhamos apenas com produtos originais e certificados. - Possui atendimento especializado? Sim, nosso atendimento é especializado e oferecido a todos os nossos clientes sem custo. - É seguro realizar a compra? Sim, trabalhamos há mais de 11 anos no Mercado Livre, sua compra é garantida e protegida! Em caso de duvidas use o campo de perguntas para tirar suas dúvidas que estamos prontos para te atender! TAG: tablet, tablet infantil, tablet para crianças, Positivo Garantia do vendedor: 90 dias

!{max-width:250px; height:auto}https://http2.mlstatic.com/D_NQ_NP_989086-MLB71949755038_092023-F.webp!";"29/04/2024";"31/05/2024";"parazi";"FIGF2"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00002056";"h1. Carregador Celular Portátil Indução Samsung iPhone Xiaomi - H'Masron

Leia todo o anúncio e tire suas dúvidas conosco pelo chat, estaremos a disposição. -Incluso: 1x Power Bank Kapbom Com indução 1x Cabo Tipo C -Caracteristica: - Carregamento rápido de 22.5W Por Cabo, - Corpo transparente, - Proteção de controle de temperatura, - Super compatibilidade. Especificações, - Capacidade: 10000mAh (3.7/37Wh), - USB Saída: DC4.5V=5A/5V=3A/9V=2A/ 12V=1.5A (22.5W máx), - Type- C Entrada: DC5V=3A/9V = 2A / 12V=1.5A, - Type- C Saída: DC5V=3A/9V =2.22A / 12V = 1.57A (20W máx). Tire todas as dúvidas através do campo de perguntas ou nosso chat direto. Após a entrega não esqueça de confirmar o recebimento e nos qualificar se sua experiência for boa conosco, é nossa meta. :) Agradecemos por visitar nossa página :) Estamos muito felizes em recebê-lo. Acompanhe nossos termos lendo a descrição abaixo. Obrigado.

!{max-width:250px; height:auto}https://a-static.mlcdn.com.br/90x90/carregador-celular-portatil-inducao-samsung-iphone-xiaomi-h-masron/danielinforeeletronicos/453254326555028/6741de87615fb4f99219d314769c7e40.jpeg! !{max-width:250px; height:auto}https://a-static.mlcdn.com.br/90x90/carregador-celular-portatil-inducao-samsung-iphone-xiaomi-h-masron/danielinforeeletronicos/453254326555028/5ec6d7d96e21e2bde9af4cc7dc766b3d.jpeg! !{max-width:250px; height:auto}https://a-static.mlcdn.com.br/90x90/carregador-celular-portatil-inducao-samsung-iphone-xiaomi-h-masron/danielinforeeletronicos/453254326555028/9d3daa4da4c868f240c9f67d10bf5fe6.jpeg!";"29/04/2024";"31/05/2024";"parazi";"FIGF2"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00002057";"h1. Amplificador Repetidor Wi-Fi 600Mbps - Estenda sua Rede - Melhor Preço

Amplificador Repetidor Wi-Fi: Estenda Sua Rede Sem FioO Amplificador Repetidor Wi-Fi é a solução perfeita para melhorar a cobertura sem fio em todas as redes WLAN. Compatível com IEEE 802.11n, IEEE 802.11g e IEEE 802.11b, ele fornece taxas de transmissão de até 600 Mbps, garantindo uma conexão rápida e estável.Esse amplificador é ideal para quem precisa de acesso à internet em locais onde o sinal Wi-Fi é fraco, permitindo que computadores e celulares estejam conectados mesmo fora do alcance do ponto de acesso. Com ele, você poderá navegar, assistir a vídeos, jogar online e realizar todas as atividades que precisa sem preocupação.Além disso, o Amplificador Repetidor Wi-Fi oferece máxima segurança WLAN com suporte a WPA2, WPA e WEP (128/64), garantindo a proteção dos seus dados e da sua rede. Com frequência de 2.4 GHz, ele é compatível com redes WLAN nessa faixa e pode ser utilizado em qualquer ambiente.Sua instalação é simples e prática, e você receberá um repetidor de sinal e um manual de instruções na caixa. O amplificador é bivolt, com tensão de 110220V, o que significa que você poderá utilizá-lo em qualquer tomada sem problemas.Características Técnicas:- Taxa de transmissão: 600mbps- Tipo de frequência: 2.4 GHz- Tensão: 110220V (Bivolt)Conteúdo da embalagem:- 01x Repetidor de sinal- 01x Manual de instruções- Homologação Anatel: 001271502106

!{max-width:250px; height:auto}https://a-static.mlcdn.com.br/280x210/amplificador-repetidor-wi-fi-600mbps-estenda-sua-rede-melhor-preco/olistplus/opmxo6fkpicosc5g/3f47c7bedbb18d80fb01cb4a5acc1135.jpeg! !{max-width:250px; height:auto}https://a-static.mlcdn.com.br/90x90/amplificador-repetidor-wi-fi-600mbps-estenda-sua-rede-melhor-preco/olistplus/opmxo6fkpicosc5g/3f47c7bedbb18d80fb01cb4a5acc1135.jpeg! !{max-width:250px; height:auto}https://a-static.mlcdn.com.br/90x90/amplificador-repetidor-wi-fi-600mbps-estenda-sua-rede-melhor-preco/olistplus/opmxo6fkpicosc5g/e24a72a8fef567247aef7be946cfdac9.jpeg!";"29/04/2024";"31/05/2024";"parazi";"FIGF2"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00002058";"h1. VGA para conversor de interface multimídia de alta definição, monitor 1080P pequena caixa de conversão de vídeo HD para computador para PC para laptop(Branco)

Recurso:

!{max-width:250px; height:auto}https://m.media-amazon.com/images/I/51slUWG7BTS._AC_UL320_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/21kmBSFbGMS._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/41tLke6UQAS._AC_.jpg!";"29/04/2024";"31/05/2024";"parazi";"FIGF2"
