"Projeto";"Tipo";"Situação";"Título";"Descrição";"Data de início";"Data limite";"Atribuído para";"Lotação"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00013825";"h1. Kit Alarme Residencial Smart Segurança Wifi Alexa E Google

!{max-width:250px; height:auto}https://http2.mlstatic.com/D_NQ_NP_784146-MLB70029129137_062023-F.webp!";"29/04/2024";"31/05/2024";"pedro";"GR07"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00013826";"h1. Smartphone Samsung Galaxy A52 128GB Branco 4G - 6GB RAM Tela 6,5 Câm. Quádrupla + Selfie 32MP

Tenha uma solução para o seu dia a dia sem deixar nada para trás com o Galaxy A52 da Samsung. Realize fotos especiais e únicas com o conjunto de 4 câmeras na parte de trás do aparelho. Divirta-se e compartilhe seus momentos especiais ao fotografar com a câmera de selfie de 32MP. A tela de 6,5'' Super AMOLED com resolução FHD+ deste smartphone oferece uma experiência de visualização imersiva, seja ao ver seus vídeos, fotos ou simplesmente acessar as redes sociais. Oferece um processador Octa-Core e 6GB de memória RAM para que você tenha tudo ao alcance dos dedos de maneira mais fácil. O armazenamento interno de 128GB entrega muita conveniência para salvar fotos, vídeos e músicas. E se mesmo assim achar pouco, você pode usar um cartão MicroSD de até 1TB para aumentar essa capacidade. Fique sempre conectado com a tecnologia 4G e Wi-Fi em um aparelho dual chip! Tenha bateria para o dia todo, afinal estamos falando de 4500mAh, além de contar com suporte para carregamento rápido de 25W. A cor branca destaca o design moderno do produto e combina perfeitamente com seu dia a dia.

!{max-width:250px; height:auto}https://a-static.mlcdn.com.br/280x210/smartphone-samsung-galaxy-a52-128gb-branco-4g-6gb-ram-tela-65-cam-quadrupla-selfie-32mp/mjphone/13c9da684d8411eeab514201ac185056/18c64ca91fae380cab8a4e4065fc4b52.jpeg! !{max-width:250px; height:auto}https://a-static.mlcdn.com.br/90x90/smartphone-samsung-galaxy-a52-128gb-branco-4g-6gb-ram-tela-65-cam-quadrupla-selfie-32mp/mjphone/13c9da684d8411eeab514201ac185056/18c64ca91fae380cab8a4e4065fc4b52.jpeg! !{max-width:250px; height:auto}https://a-static.mlcdn.com.br/90x90/smartphone-samsung-galaxy-a52-128gb-branco-4g-6gb-ram-tela-65-cam-quadrupla-selfie-32mp/mjphone/13c9da684d8411eeab514201ac185056/6004a21a77964a71e6df49b984e9ff81.jpeg!";"29/04/2024";"31/05/2024";"pedro";"GR07"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00013827";"h1. Xiaomi Mi Tv Stick  Controle De Voz Full Hd 8gb Preto

Com um tamanho reduzido e pesando menos de 30 gramas, esta TV Stick da Xiaomi é fácil de transportar e conectar sem fio com outros dispositivos, como iPhones, iPads ou qualquer que for compatível. Seu sistema operacional Android TV 9.0 permite que você desfrute de todos as funcionalidades e aplicativos disponíveis. Qualidade da imagem disponível em definição de 1080p, com imagens coloridas mais vibrantes e atraentes em comparação com seu antecessor HD. Diversão assegurada É compatível com Disney+. Com este aplicativo reviva as histórias que marcaram a infância de muitas pessoas. Séries e filmes da Pixar, Marvel, Star Wars, Disney e National Geographic são um dos muitos entretenimentos que podem ser desfrutados na plataforma.

!{max-width:250px; height:auto}https://http2.mlstatic.com/D_NQ_NP_851030-MLA51179137152_082022-F.webp!";"29/04/2024";"31/05/2024";"pedro";"GR07"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00013828";"h1. Carregador sem fio 15W Placa de carregamento rápido compatível com Samsung Galaxy S9/S10/S10+ /S20/S20+/Note8/9 iPhoneX/iPhoneXS/iPhoneXR/iPhone8/iPhone8plus (sem adaptador AC)";"29/04/2024";"31/05/2024";"pedro";"GR07"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00013829";"h1. Fire Tv Stick Controle Remoto Por Voz Alexa Amazon Bivolt

MUDE A FORMA DE VER STREAMING COM O FIRE TV STICK! O Fire Tv Stick Controle Remoto Por Voz Alexa da Amazon mudará a sua forma de ver seus programas! Com este produto, é possível encontrar conteúdos rapidamente, é simples e intuitivo, seu design compacto se conecta diretamente a uma entrada HDMI e pode ficar convenientemente atrás da televisão! Além disso, conta com controle remoto por voz com Alexa! É só apertar e segurar o botão de voz e pedir à Alexa para encontrar, iniciar e controlar os conteúdos. Alterne facilmente o controle entre TVs da sua casa ou leve-o para suas viagens! ------------------------------------------------------------------------------------- DIMENSÕES E PESO DO CONTROLE REMOTO POR VOZ COM ALEXA: Altura: 14,2 cm Largura: 3,8 cm Profundidade: 1,6 cm Peso: 43,4 g DIMENSÕES E PESO DO FIRE TV STICK: Altura: 8,6 cm Largura: 3 cm Profundidade: 1,3 cm Peso: 32 g ATENÇÃO: *Os botões de aplicativos do controle remoto podem variar. *O Fire TV Stick não suporta streaming em 4K. Se esta função te interessa, recomendamos o Fire TV Stick 4K. *Dolby Atmos está disponível em títulos selecionados do Prime Video, Netflix e Disney+ quando conectado a equipamentos compatíveis.

!{max-width:250px; height:auto}https://http2.mlstatic.com/D_NQ_NP_889993-MLA45348701303_032021-F.webp!";"29/04/2024";"31/05/2024";"pedro";"GR07"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00013830";"h1. EV Charger Plug Bag, Portable Charging Equipment Container Fire Retardant Green Printing for RVs

Feature: Premium Material: Car battery switch is made of premium ABS and brass material, wear resistant, anti aging, high strength, sturdy and durable. Function: Battery isolator switch can eliminate any power draw when vehicle is not in use, disconnects the battery safely, with 2 position on and off. Strict Standards: Built to greatly quality control standards, 12?32V voltage, the operating temperature is ?30¡æ to + 60¡æ, stable and reliable. Professional Design: Professional manufacturing, exquisite workmanship, waterproof, compact size, modern appearance, easy to install and use. Wide Application: Battery disconnect switch has a wide range of applicaiton, suitable for cars, off road vehicle, truck, motorcycle, boat, etc.

!{max-width:250px; height:auto}https://m.media-amazon.com/images/I/71mBz4Y+pnL._AC_UL320_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/31W-dOYVBML._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/412LwQtrtjL._AC_.jpg!";"29/04/2024";"31/05/2024";"pedro";"GR07"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00013831";"h1. Alto-falante de rádio de chuveiro com Bluetooth 5.0, AGPTEK à prova d 'água sem fio banheiro FM com ventosa 12H longo tempo de reprodução, cordão, visor de tela LCD, chamadas sem as mãos, reprodução de cartão SD preto

Alto-falante de chuveiro portátil com experiência Bluetooth 5.0 A tecnologia Bluetooth 5.0 oferece uma conexão segura e rápida. Tecnologia sem fio de alta eficiência para todos os dispositivos habilitados para Bluetooth como smartphones (iOS e Android), iPad, iPod, Mac, MacBook, tablet, laptop, desktop, PC e muito mais! Além disso, também é compatível com MP3 Player AGPTEK. À prova d'água, à prova de choque e poeira O design IPX5 à prova d'água permite que você o use ao ar livre sem se preocupar com o respingos de água e chuva. Ideal para piscinas, praias, banheiros, etc. (Observação: o alto-falante IPX5 não pode ser submerso debaixo d'água). Lembrete de baixa potência e desligamento automático O alto-falante enviará tons a cada minuto. Quando você ouvir isso, por favor carregue-o, se não, o alto-falante Bluetooth desligará automaticamente quando a bateria estiver mantendo o baixo nível de energia em alguns minutos. Neste caso, o dispositivo não pode ser ligado, até que você recarregue a bateria pelo menos 10 ~ 15 minutos. Rediscagem para função de última chamada Para rediscar o último número chamado pelo alto-falante Bluetooth, mesmo que esteja no modo de reprodução de música. Certifique-se de que seu celular tenha a última chamada de discagem usada, caso contrário, a função de rediscagem para a última chamada não pode ser ativada. 1. Pressione o botão de chamada duas vezes para entrar na função de rediscagem 2. Pressione o botão de chamada novamente para desligar a chamada de rediscagem. Observação: 1. Antes de usar o alto-falante Bluetooth de chuveiro no banheiro, certifique-se de que a ''capa de vedação de borracha'' à prova de respingos esteja bem fechada na posição certa. 2. Aperte a capa de vedação de borracha após o carregamento para evitar que a água penetre no alto-falante. 3. Leia o manual do usuário cuidadosamente antes de usar o alto-falante. 4. Não mergulhe o alto-falante na água! Importante: suporta apenas o modo 24H de exibição de tempo! Não suporta rádio AM. Não é possível reproduzir o rádio e ver a hora ao mesmo tempo e eles são de exibição alternativa! 【 Rádio de chuveiro potente com Bluetooth 5.0 】 O rádio de chuveiro (suporta armazenamento de até 40 estações FM, não suporta rádio AM), o vapor de água no banheiro não interferirá na qualidade de som do alto-falante, sinta-se à vontade para ser um roqueiro de banheiro. (Não suporta deixar de molho em água). Bluetooth 5.0, livre para conectar ao seu iPhone/iPad/computador/celular/MP3 e outros dispositivos Bluetooth! Observação: suporta apenas o modo de exibição de tempo 24H. 【 Compartimento para cartão SD e microfone e função de mãos livres 】 Compartimento para cartão SD integrado expandido até cartão SD de 128G (SD não está incluído), você não só pode desfrutar de música através do Bluetooth, também pode inserir um cartão SD no caixa de som do chuveiro para reproduzir. Microfone embutido, suporte para chamadas sem as mãos (uma tecla para atender a chamada) e rediscagem para a função de última chamada (clique duas vezes no botão de chamada para entrar na função de rediscagem). Não perca mais nenhuma ligação importante. 【 Efeito de graves pesados e até 12 horas de diversão 】 O driver de alto desempenho de 5 W proporciona um som estéreo cristalino com graves ricos. Oferece a você mais prazer musical de alta qualidade. Bateria de grande capacidade de 2000 mAh integrada para fazer o alto-falante ter uma incrível vida útil da bateria de 12 horas para reproduzir sua música favorita o dia todo após 3 horas totalmente carregada. AGPTEK leva você em uma inesquecível jornada de música! 【 Ventosa removível e cordão 】 A ventosa é projetada para se fixar firmemente aos azulejos do banheiro, vidro, janela do carro ou qualquer outra superfície lisa. Com o cordão destacável, você pode pendurar o alto-falante Bluetooth em qualquer lugar quando estiver em ambientes externos ou internos. Botões de silicone independentes para operação fácil e sem esforço, evitando efetivamente a operação errada. Perfeito para uso interno, ao ar livre, viagens, praia! 【 Tela de LCD e IPX5 resistente à água 】 A tela LCD pode exibir o tempo a qualquer momento. Observação: suporta apenas o modo de exibição de tempo 24H. Rádio e hora são monitores alternativos! IPX5 resistente à água pode sobreviver a salpicos acidentais em casa, piscinas, praias ou em qualquer lugar. Menor potência de voz e modo de desligamento de 8 minutos permitem que a bateria dure por um longo tempo. Não se preocupe com a falta de energia ao caminhar, acampar ou viajar.

!{max-width:250px; height:auto}https://m.media-amazon.com/images/I/71-vCtgVIaL._AC_UL320_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/51FpDOVo4rL._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/416vmqoFioL._AC_.jpg!";"29/04/2024";"31/05/2024";"pedro";"GR07"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00013832";"h1. PartyKindom Adaptador De Carregamento De Carro Adaptador USB A Abs Preto Transmissor Automático USB Carregador De Carro Adaptador De Player De Carro Acessórios De Rádio F5 C Carregador Para";"29/04/2024";"31/05/2024";"pedro";"GR07"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00013833";"h1. Frisado Telefone Celular Anti- Pulso Pulso Frisado Phone Chain";"29/04/2024";"31/05/2024";"pedro";"GR07"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00013834";"h1. X8 Power System DIY Heavy Duty Modular Agricultura Drone Power System com luz LED para RC Plant Drones

Hélice 2388: A hélice 2388 é feita de materiais de alta resistência por moldagem por injeção. A hélice é forte, leve e com alta força de elevação, com alta eficiência. Design Inteligente: Com design modular, a manutenção é mais conveniente quando o sistema de energia está danificado. Proteção múltipla inteligente, saída em tempo real de dados em execução. Estrutura do casco exclusivo: O design exclusivo da estrutura da quilha do casco otimiza a dissipação de calor do sistema e fortalece a resistência geral. High Performance: O nível de proteção do sistema de energia X8 é de até IPX7, e a estrutura possui canais de drenagem para líquidos e detritos. A otimização do algoritmo PMSM baseado em FOC cria um sistema de energia perfeito. O sistema de energia integra Luz LED: sistema de energia integrado X8, com sua própria luz indicadora LED de alto brilho, os usuários podem selecionar livremente, alternar a luz e a cor da luz, e também podem indicar o status de trabalho para melhorar o fator de segurança.

!{max-width:250px; height:auto}https://m.media-amazon.com/images/I/418QCbkTMmL._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/41qN1RNUWdL._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/418YKLDOkiL._AC_.jpg!";"29/04/2024";"31/05/2024";"pedro";"GR07"
