"Projeto";"Tipo";"Situação";"Título";"Descrição";"Data de início";"Data limite";"Atribuído para";"Lotação"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00001025";"h1. Controle Universal Inteligente WIFI Infravermelho RF433/315MHZ, Controle Remoto Smart Wi-fi Infravermelho, Smart Controle Universal Inteligente, Compatível com Google Home Alexa (4PCS)";"29/04/2024";"31/05/2024";"pott";"GR05"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00001026";"h1. Drone G6 Pro Camera 8k 2-baterias

!{max-width:250px; height:auto}https://http2.mlstatic.com/D_NQ_NP_649982-MLB73247118388_122023-F.webp!";"29/04/2024";"31/05/2024";"pott";"GR05"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00001027";"h1. Drone Eachine Ex4 5g 3km Fpv Gps 4k 3eixos 25min +case Novo

***********************************************ATENÇÃO******************************************** O envio para os Estados de Santa Catarina e Minas Gerais será feito por correios via PAC, Drones e eletrônicos estão ficando retidos na transportadora de SC e MG e por esse motivo o envio é pelos correios, o prazo de entrega é de 5 dias úteis por PAC mas caso precise com urgência nos enviei uma mensagem que verificamos a possibilidade de enviar por Sedex com o prazo de entrega de 2 dias úteis. (APENAS PARA OS ESTADOS DE SANTA CATARINA E MINAS GERAIS SERÁ FEITO DOIS ENVIOS NO MESMO DIA O DA TRANSPORTADORA QUE ESTARÁ VAZIO E O DOS CORREIOS QUE VAI ESTAR O PRODUTO, FAZEMOS O ENVIO DO PACOTE VAZIO PARA A COMPRA NAO SER CANCELADA PELO MERCADO LIVRE PELO NÃO ENVIO DO PRODUTO, APÓS A COMPRA NOS ENVIEI NO CAMPO DE MENSAGEM DA COMPRA UMA MENSAGEM DE CONFIRMAÇÃO E SEU PEDIDO SERA ENVIADO COM URGÊNCIA!) NOSSA LOJA TEM MAIS DE 1000 VENDAS NOS ÚLTIMOS 120 DIAS. ******************************************************************************************************* ___________CASO NÃO CONCORDE NÃO FAÇA A COMPRA!!!!!!!!__________ ********************************************************************************************************* Drones e Cia - EMITIMOS NOTA FISCAL. - Produto novo . - Pronta entrega. Porque comprar conosco? Pois testamos o drone antes de fazer o envio e temos o video com o passo a passo para o voo, que pode ser solicitado após a compra. Fornecemos alguns panfletos que vai junto ao drone com dicas essenciais para o seu voo, apenas quem trabalha a muito tempo no ramo de drone pode te fornecer. Todas as duvidas antes e após a compra será respondida por nossa equipe e caso necessite iremos fazer outro video mais especifico para você. Caso precise de alguma peça que não encontre no mercado poderá encomendar conosco. COMPRE COM QUEM ENTENDE DO ASSUNTO, NÃO VAMOS TE DEIXAR NA MÃO. Descrição: - Marca: Eachine - Modelo : EX4 - Distância entre eixos: 216 mm - Motor: Motor sem escova - Bateria drone : 11,4 V 2400 mAh - Tempo de carregamento: cerca de 5 horas - Tempo de vôo: cerca de 25 minutos - Velocidade máxima de vôo: 10 m / s - Altura máxima: 500 m - Posicionamento interno: fluxo óptico + suporte de retenção ultrassônico - Cor: branco - Tamanho do Quadrotor: 177x196x70 mm (desdobrado) 177x90x55 mm (dobrado) - Peso do Quadrotor : 437 g - Suporta cartões SD : classe Micro SD Cartão Micro SD 10 ou superior ou UHS-1 - Capacidade máxima: 32 GB (não incluído) - Câmera Wifi 5G 4K Ângulo ajustável da câmera : 0 - 90 ° - Tensão operacional da câmera: 5 V Lente: FOV 80 ° - Abertura: f / 2.6 - Distância focal equivalente: 35 mm Sensor: 1/3. 2 CMOS - Zoom digital: alcance máximo de foto ISO 50x : 100-1600 - Modo de foto: foto única / foto gestual Formato da imagem: JPEG - Resolução da foto: 4096x3072 (principal) 1280x720 (sub-câmeras) - Resolução de vídeo: 1920x1080 (principal) 1280x720 (sub-câmeras) - Formato de vídeo : MP4 Video ISO varia: 100-3200 - Codestream máximo de vídeo: 8 Mbps Suporte ao sistema de arquivos: FAT32 - Temperatura de operação: 0-40 ¿ - Gimbal: trava de dobradiça sem escova de 3 eixos (inclinação, rolo, panorâmica) - Área de rotação controlada: 0 ° ¿-90 ° - Faixa de frequência: 5 GHz - Faixa de transmissão: 1,2 km - Distância de transmissão da imagem Wifi 5G: 1000 m - Bateria do transmissor: 3,7V 2600 mAh - Entrada: 5 V-2A - Carregamento: Micro USB Características: 1) Com alça dobrável, tamanho pequeno, fácil de transportar. 2) Posicionamento GPS: No modo GPS, quando o avião recebe um sinal de satélites, ele se posiciona onde está. 3) Posicionamento óptico: Ele captura os dados de imagem da câmera inferior do drone e usa um fluxo óptico para melhorar a suavidade do controle. 4) 5G wifi FPV: Vídeo 1080P e 4K fotos com transmissão em tempo real. 5) Gimbal para câmera 4K HD . É equipado com uma câmera 4K, incrivelmente configurada para tirar fotos e vídeos do céu, também Com trava articulada sem escova de três eixos Ajuda o drone a gravar faixas sem vibração. 6) Motor sem escova : é tão silencioso, mas muito poderoso no trabalho. Os danos ocorrem em casos raros e a substituição do motor não é necessária, o que torna o seu voo mais agradável. 7) Altitude Hold Mode: No modo de retenção de altitude, o drone mantém uma altitude constante, fornecendo controle normal da pista, arremesso e empurrões. 8) O ângulo da câmera pode ser controlado usando um transmissor / aplicativo para pitch de -90 ° a 0 °. 9) Uma chave decola / aterra. Um clique remove ou pousa automaticamente, o Drone removerá ou retornará à posição em que foi atingido e isso é muito adequado para iniciantes na Operação. 10) Um retorno de chave: A função de retorno com um botão facilita encontrar o caminho de casa. 11) Uma tecla no próximo modo: No modo Drone, ele voará seguindo o jogador para capturar um momento maravilhoso 12) Ponto de vôo interessante: Selecione um ponto, então o drone voará em círculo em torno de um determinado ponto e certifique-se de obter fotos e vídeos panorâmicos. 13) Com uma bateria de 11,4 a 2400 mAh, o tempo de vôo é de até 25 minutos. 14) Com proteção contra sobrecorrente. 15) Lente de zoom : o foco é mais rápido e preciso, e o momento é fixo. 16) O quadcopter da fuselagem é feito de plástico de engenharia de alta resistência e durabilidade, resistência leve e durável. Função: Para cima / Para baixo, Para frente / trás, Virar para a esquerda / direita, Vôo lateral, Modo sem cabeça, Posicionamento GPS, Siga-me, Modo orbital, Vôo bidirecional, Fluxo óptico, Modo de espera por altitude ultra-sônica, Wi-Fi FPV, Câmera / vídeo, detecção de gravidade, emparelhamento e compartilhamento. O pacote inclui: 1 x Drone com Controle Remoto 1x Bateria 11,4 em 2400 mAh 1 x Controle remoto 2 x Parafusos 1 x Carregador 1 x Cabo de carregamento USB 1 x Suporte para telefone 1 x Mochila protetora 1 x Chave L 1,5 mm 1 x Chave em forma de L 2,5 mm 1 x Manual do Usuário em Inglês Cliente, o Drone é um produto eletrônico que voa, por isso requer muito cuidado em seu manuseio. Se o produto apresentar defeito o cliente deverá notificar o problema pelo Chat, informando detalhadamente o problema junto com um vídeo explicativo mostrando o problema do produto. Não somos responsáveis por qualquer reclamação de garantia devido ao mau uso, acidentes, danos, instalação / configuração incorreta, cuidado com as crianças.

!{max-width:250px; height:auto}https://http2.mlstatic.com/D_NQ_NP_752378-MLB46102962296_052021-F.webp!";"29/04/2024";"31/05/2024";"pott";"GR05"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00001028";"h1. Security Camera, Color Night Vision Motion Detection Two Way Audio Surveillance Camera WiFi for Outdoor(White)

Feature: Motion Detection: Security camera could only be triggered by human motion, item trigger does not alarm, can customize recording alarm voice. Color Night Vision: Black light full color night vision, free control of screen color, full HD 1080P resolution, clear images in day and night. Remote Monitoring: Support mobile phone client remote monitoring, monitor anomalies will automatically send messages to the mobile phone. 3 Modes Free Switching: 3 modes can be easily switched at any time according to different environments and needs, infrared, black light, alert mode. Two Way Audio: Built in noise reduction microphone and high sound quality speaker, support two way real time audio transmission.

!{max-width:250px; height:auto}https://m.media-amazon.com/images/I/419DcHpgldL._AC_UL320_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/21SYNbNYznL._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/41Ngx7k+j1L._AC_.jpg!";"29/04/2024";"31/05/2024";"pott";"GR05"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00001029";"h1. Receptor transmissor Bluetooth, Adaptador de áudio sem fio portátil 2 em 1 Bluetooth 5.0 transmissor de áudio com comutação de uma tecla";"29/04/2024";"31/05/2024";"pott";"GR05"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00001030";"h1. Adaptador WiFi USB sem fio para PC, com transmissão de modo duplo, USB WiFi Dongle para Desktop Laptop Fone de ouvido PDA, compatível com Windows 98/98se/Me/2000/XP/Vista/ 7/8/10

Especificação: Tipo de item: Adaptador USB BT Material da casca: Plástico Bluetooth: Especificação Bluetooth V4.0 Arquivos de configuração de suporte: Rede, discagem, fax, acesso LAN e fone de ouvido Sistema operacional: Suporte para Windows 98/98se/Me/2000/XP/Vista/ 7/8/10 Interface: USB compatível Taxa de sinal: 3 Mbps Alcance de recebimento/envio: Aprox. De 10 a 20 m/32,8-65,6 pés Lista da embalagem: 1 x adaptador USB BT 4.0 PARA adaptador WI-FI USB BLUETOOTH 4.0 - para dongle USB sem fio Bluetooth, suporta vários idiomas, baixo consumo de energia, plug and play, pequeno em tamanho, leve, conveniente de usar e carregar. Cobertura mais forte – este dongle WiFi USB, que alcance de recebimento/envio pode chegar a 10-20 m/32,8-65,00 m. Taxa de sinal de 3 Mbps - Suporta dados de voz Bluetooth, transmissão Bluetooth de modo duplo, taxa de sinal é de 3 Mbps para streaming de vídeo sem atraso e chamadas de Internet. Ampla compatibilidade - com interface de coexistência WLAN, 1,2 a 3,6 VI/O disponível, ampla aplicação, adequado para fone de ouvido PDA PC de laptop, etc. Suporte para Windows 98/98se/Me/2000/XP/Vista/ 7/8/10. Serviço de satisfação – Se você estiver insatisfeito com este item por qualquer motivo, sinta-se à vontade para entrar em contato conosco por e-mail, nós lhe daremos uma solução satisfatória imediatamente.

!{max-width:250px; height:auto}https://m.media-amazon.com/images/I/61JzeDn6dVL._AC_UL320_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/41Ezuh3PCeL._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/41XySP3CR5L._AC_.jpg!";"29/04/2024";"31/05/2024";"pott";"GR05"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00001031";"h1. Roku Express 3930br Full Hd Hdmi + Brinde Copo Térmico

!{max-width:250px; height:auto}https://http2.mlstatic.com/D_NQ_NP_624170-MLB70361371531_072023-F.webp!";"29/04/2024";"31/05/2024";"pott";"GR05"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00001032";"h1. Bateria para Notebook bringIT compatível com Acer Aspire E5-575 4 Células

Bateria para Notebook Acer Aspire E5-575 | 4 Células Esta é uma Bateria bringIT compatível com o notebook Acer Aspire E5-575. Com alta durabilidade e qualidade, as baterias bringIT são de confiança e possuem compatibilidade garantida. Com excelente desempenho, possui proteção contra sobrecarregamento e sobreaquecimento. Além disso, as células são de íons de lítio (lithium-ion) e imunes ao “efeito memória”, ou seja, não viciam.Atenção! Essa é uma bateria bringIT, portanto não é um produto original da fabricante Acer. Caso seja necessário, todo o suporte e garantia do produto serão oferecidos pela nossa equipe. Para evitar problemas de compatibilidade, por favor verifique as especificações da sua bateria.Para evitar problemas de compatibilidade, compare as fotos deste anúncio com seu equipamento original. Assim você consegue verificar as principais informações de compatibilidade e demais especificações da sua bateria.Informações TécnicasQuantidade de células: 4 Células Capacidade: 2200 mAh Tensão (Voltagem): 14.6 V Tensões equivalentes: 10.8V = 11.1V e 14.4V = 14.8VCor: Preto Garantia: 12 meses de garantia contra defeitos de fabricação Referência: BC213

!{max-width:250px; height:auto}https://a-static.mlcdn.com.br/90x90/bateria-para-notebook-bringit-compativel-com-acer-aspire-e5-575-4-celulas/bringitsc2/bc213-ac-0001/90a1cb415e499f2b6289b6fbfee6aaf8.jpeg! !{max-width:250px; height:auto}https://a-static.mlcdn.com.br/90x90/bateria-para-notebook-bringit-compativel-com-acer-aspire-e5-575-4-celulas/bringitsc2/bc213-ac-0001/c2f6b2567e1cd0732cc9c0e4e0c7ca89.jpeg! !{max-width:250px; height:auto}https://a-static.mlcdn.com.br/90x90/bateria-para-notebook-bringit-compativel-com-acer-aspire-e5-575-4-celulas/bringitsc2/bc213-ac-0001/a28607ea66aba26a01e285a683dae6b8.jpeg!";"29/04/2024";"31/05/2024";"pott";"GR05"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00001033";"h1. Xiaomi 13T 256gb 8gb Versao Global 5G no Brasil - Black (Preto)

O Xiaomi 13T é um smartphone Android avançado e abrangente em todos os pontos de vista com algumas características excelentes. Tem uma grande tela de 6.67 polegadas com uma resolução de 2712x1220 pixels. As funcionalidades oferecidas pelo Xiaomi 13T são muitas e inovadoras. Começando pelo 5G que permite a transferência de dados e excelente navegação na internet. Enfatizamos a excelente memória interna de 256 GB mas sem a possibilidade de expansão. O Xiaomi 13T é um produto com poucos concorrentes em termos de multimídia graças à câmera de 50 megapixels que permite ao Xiaomi 13T tirar fotos fantásticas com uma resolução de 8165x6124 pixels e gravar vídeos em 4K a espantosa resolução de 3840x2160 pixels. Muito fino, 8.5 milímetros, o que torna o Xiaomi 13T realmente interessante. Tela AMOLED Já está no Brasil - Versao Global 8gb /256gb Armazenamento 5G

!{max-width:250px; height:auto}https://m.media-amazon.com/images/I/518w7wslUKL._AC_UL320_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/31hLMnz9jhL._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/31i7O3kVokL._AC_.jpg!";"29/04/2024";"31/05/2024";"pott";"GR05"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00001034";"h1. Bateria de substituição XSP para Huaw/ei Ascend P7-L11, Ascend P7-L05, Ascend P7-L10, Ascend P7, P7, Ascend P7-L09, Ascend P7-L00, Ascend P7-L07, Sophia PN HB3543B4EBW

!{max-width:250px; height:auto}https://m.media-amazon.com/images/I/41RcFRbKXkL._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/41Cd13H7qqL._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/51Exb5IJrfL._AC_.jpg!";"29/04/2024";"31/05/2024";"pott";"GR05"
