"Projeto";"Tipo";"Situação";"Título";"Descrição";"Data de início";"Data limite";"Atribuído para";"Lotação"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00017921";"h1. Vbestlife Módulo de carregador sem fio, T3PCBA+bobina Qi, mini carregador sem fio, módulo de placa de circuito transmissor de carregamento rápido";"29/04/2024";"31/05/2024";"sinval";"GR04"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00017922";"h1. Câmera esportiva, câmera wi-fi com tela de alta definição de 2.0 polegadas para piscina para parque aquático";"29/04/2024";"31/05/2024";"sinval";"GR04"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00017923";"h1. Transmissor-Receptor,Sailsbury Bt13 Bt 5.0 Transmissor Receptor 3.5 Mm Aux Estéreo Para Pc Tv Car Headphones Adaptador Sem Fio

Adequado para equipamentos de áudio com interface de áudio de 3,5 mm e bateria recarregável embutida. A tecnologia BT 5.0 possui menor consumo de energia e transmissão de sinal mais estável. Modo transmissor receptor duas em uma, uma tecla para alternar. Modo de transmissor: transfira sem fio o áudio da TV que não é da BT, do sistema estéreo doméstico ou do CD player para os fones de ouvido ou alto-falantes da BT. Modo receptor: transfira sem fio o áudio do telefone, tablet ou computador compatível com BT para o aparelho de som, alto-falantes ou fones de ouvido com fio.

!{max-width:250px; height:auto}https://m.media-amazon.com/images/I/31qd0o2dqjS._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/416MPcybmOL._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/51ezH7imCJL._AC_.jpg!";"29/04/2024";"31/05/2024";"sinval";"GR04"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00017924";"h1. SIMBAE Interruptor de tela de projeção 433MHz AC220V 2CH 433MHz Sistema de interruptor de controle remoto RF inteligente e 1 peça de 3 teclas RF 433MHz transmissor controle remoto chip 1527 para tela de projeção porta de garagem";"29/04/2024";"31/05/2024";"sinval";"GR04"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00017925";"h1. PRETYZOOM 20 Pçs Tapete Antiderrapante Suporte De Celular Para Carro Suporte De Carro Para Celular Suporte Para Celular Em Veículo Almofada Antiderrapante Almofada Antiderrapante Para

!{max-width:250px; height:auto}https://m.media-amazon.com/images/I/41wcTzFK2jL._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/51s2id5mSsL._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/41PxzJrNImL._AC_.jpg!";"29/04/2024";"31/05/2024";"sinval";"GR04"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00017926";"h1. Roteador Wireless Huawei AX3 Pro, Gigabit-Ethernet, AX3000M, 4 Antenas - ws7206 black

Roteador Wireless Huawei AX3 Pro Largura de banda maior com 160 MHz, Alta Velocidade Os dispositivos HUAWEI habilitados para AX3 Pro e WiFi 6 Plus são a combinação perfeita, pois ambos suportam uma grande largura de banda de 160 MHz. Você aproveitará quase o dobro da velocidade, combinada com a máxima eficiência. Baixe arquivos grandes instantaneamente e faça chamadas de vídeo sem buffering. Velocidades incrivelmente rápidas Prepare-se para se impressionar com as velocidades incrivelmente rápidas fornecidas pelo AX3 Pro. Com velocidades teóricas máximas de 3.000 Mbps você pode fazer streaming de filmes em 4K e jogar seus jogos favoritos sem problemas. Acelere seus dispositivos Wi-Fi 5 Ao conectar o AX3 Pro a dispositivos Wi-Fi 5 que suportam 160 MHz,como telefones, tablets e laptops HUAWEI, a velocidade da Internet aumentará em até 60%. Aproveite tudo o que você faz online a uma velocidade muito mais rápida. Antena de alto isolamento, Conexões fortes em todos os lugares O conjunto de antenas de alto desempenho foi meticulosamente projetado para reduzir a interferência ao máximo possível dentro da mesma frequência, gerando conexões perfeitas. Adaptação automática Gigabit WAN/LAN O AX3 Pro vem com 4 portas Gigabit Ethernet integradas para internet o mais rápida e consistentemente possível, com cada porta suportando adaptação automática WAN/LAN para fácil configuração. Conexão em apenas um toque Basta tocar seu telefone na área de detecção de NFC do AX3 Pro para uma conexão Wi-Fi instantânea. Não é necessário inserir o nome e a senha do Wi-Fi. Compre agora no KaBuM!

!{max-width:250px; height:auto}https://a-static.mlcdn.com.br/280x210/roteador-wireless-huawei-ax3-pro-gigabit-ethernet-ax3000m-4-antenas-ws7206-black/kabum/479744/b37ad9726a77e6d1f2fd4ba0161b5196.jpeg! !{max-width:250px; height:auto}https://a-static.mlcdn.com.br/90x90/roteador-wireless-huawei-ax3-pro-gigabit-ethernet-ax3000m-4-antenas-ws7206-black/kabum/479744/b37ad9726a77e6d1f2fd4ba0161b5196.jpeg! !{max-width:250px; height:auto}https://a-static.mlcdn.com.br/90x90/roteador-wireless-huawei-ax3-pro-gigabit-ethernet-ax3000m-4-antenas-ws7206-black/kabum/479744/19be16594261f11b76f29ac93a9fdeda.jpeg!";"29/04/2024";"31/05/2024";"sinval";"GR04"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00017927";"h1. Adaptador Bluetooth Sem Fio Radio Som Automotivo Usb Branco

Importante: Este adaptador Bluetooth NÃO é compatível com computadores ou tablets. Além disso, ele não é adequado para todos os carros, apenas alguns carros mais antigos são compatíveis. ITENS INCLUSOS: 1x Adaptador sem Fio Bluetooth Leve a sua experiência de áudio a um novo nível com nosso Adaptador Bluetooth de alta qualidade! Leve a sua música e chamadas para o próximo nível com nosso Adaptador Bluetooth compacto e de alta qualidade. Não perca mais tempo com fios emaranhados e desfrute de uma experiência de áudio sem complicações! Instruções de uso: - Conecte o receptor de música na interface USB do dispositivo de som. - Abra o smartphone e habilite o bluetooth, procure por BT-MUSIC, e então pareie com seu dispositivo. - Caso solicite senha (digite 0000) *siga esse passo somente se solicitar senha. - Após o emparelhamento ser bem sucedido, a luz led diminuirá a velocidade. - Depois é só ligar seu player de música no smartphone e o som irá tocar no aparelho de som. Características Principais: - 100% novo e de alta qualidade, garantindo um desempenho excepcional. - Design compacto e tamanho mini, permitindo que você o leve para onde quiser. - Equipado com microfone para uma função mãos-livres conveniente. - Desfrute de música e chamadas de voz sem fio em dispositivos compatíveis com Bluetooth. Especificações Técnicas: - Tamanho: Aproximadamente 6cm x 2cm x 0.8cm, ideal para portabilidade. - Especificação compatível com Bluetooth: V2.1, garantindo conectividade confiável. - Perfis suportados: A2DP, AVRCP, para uma ampla variedade de usos. - Alcance do receptor: Aproximadamente 10 metros (sem obstruções), dando-lhe liberdade de movimento. - Compre agora e liberte-se dos cabos! Garantia do vendedor: 90 dias

!{max-width:250px; height:auto}https://http2.mlstatic.com/D_NQ_NP_768352-MLB72738533427_112023-F.webp! !{max-width:250px; height:auto}https://http2.mlstatic.com/D_NQ_NP_778554-MLB72738898349_112023-F.webp! !{max-width:250px; height:auto}https://http2.mlstatic.com/D_NQ_NP_733257-MLB72738642085_112023-F.webp!";"29/04/2024";"31/05/2024";"sinval";"GR04"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00017928";"h1. Wemay S89 RC Drone com Câmera 4K Wifi FPV Dual Camera Drone Mini Brinquedo Quadcóptero Dobrável para Adultos Crianças com Controle do Sensor de Gravidade Modo sem Cabeça Gesto Foto Vídeo Função";"29/04/2024";"31/05/2024";"sinval";"GR04"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00017929";"h1. Divisor PoE, Portas RJ45 de 10/100M Indicador LED 1 Em 1 Saída Extensor de Sinal PoE Extensão de 656 Pés Plug and Play para Rede";"29/04/2024";"31/05/2024";"sinval";"GR04"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00017930";"h1. Filtro de tela de luz azul, filtro de tela de computador de 23,8 polegadas 16:9, superfícies foscas, revestimento antideslumbrante, filme de filtro de proteção para os olhos para computador portátil";"29/04/2024";"31/05/2024";"sinval";"GR04"
