"Projeto";"Tipo";"Situação";"Título";"Descrição";"Data de início";"Data limite";"Atribuído para";"Lotação"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00018945";"h1. Carregador de telefone para carro, 30 W, carregador de motocicleta ABS PC tipo C, porta dupla, caixa preta para barcos

Portas duplas: nosso carregador de telefone para carro vem com duas portas, uma porta USB e uma porta tipo C, suportando você a carregar dois dispositivos ao mesmo tempo. Caixa preta: o carregador de telefone para carro de motocicleta tem design leve, além de acabamento fino e caixa preta, parece ótimo e interessante. Adequado para instalação: a tensão de entrada do nosso carregador de celular para motocicleta é DC 12-24V tensão universal, que pode ser instalada e usada em carros, motocicletas, trailers, SUVs, barcos, iates e outras ferramentas de mobilidade. Capa de mola: carregador de carro com capa de mola, aparência elegante e simples, fácil de abrir e fechar, tornando-o mais conveniente para você usar. Suporta protocolos de carregamento rápido: a porta de carregamento rápido PD deste carregador de carro suporta protocolos de carregamento rápido, como DCP (para iOS e BC1.2), para QC2.0 e QC3.0, FCP e SCP, protocolo de carregamento rápido Samsung AFC (Máximo 12V), para MTK PE + 1.1 e MTK PE +2.0.

!{max-width:250px; height:auto}https://m.media-amazon.com/images/I/41bCaI1aLkL._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/41JPufKwXOL._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/41bQeDLbfML._AC_.jpg!";"29/04/2024";"31/05/2024";"thiagoalves";"GR07"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00018946";"h1. Fone de ouvido bluetooth com microfone a prova d' água J 60 - TWS J 60

Fone de Ouvido bluetooth com microfone embutido, som confortável e ambiente, modelo Tws J 60.Tempo de reprodução de 4 a 5 horas.Tipo de encaixe auricular, para trazer mais conforto ao seu ouvido, e uma melhor performance do encaixe. Nossos produtos são todos testados porem se o cliente tiver qualquer problema basta nos chamar no chat que resolvemos imediatamente.Acompanha:1 par de fones1 case carregadora1 cabo carregador1 caixa de varejoEspecificações:Modelo Tws- J-60 material: PlásticoCor: Branco, Rosa ou AzulVersão BT: BT5.0Tensão Operacional: 3,2 a 3,4 VDistância Transmissão: 10 metrosAuto falante de fone de ouvido: 8MMTempo de chamada: 3 horasTempo de reprodução: 5 horasTempo de fone de ouvido: 1,5 horasSistema de suporte: todos os dispositivos com sistema bluetooth e telefones celularesCapacidade da Bateria: Fone de ouvido: 45 mAhCaixa cha-rge: 280 mAhTamanho do Item : Fone de Ouvido 15 mmCaixa cha-rge 62x 27,5 mm / 2,44 x 1,08 polegadasPeso do pacote: 65 gTamanho do pacote: 150 x 80 x 35 mm / 5,91 x 3,1 5x 1,38 polegadas.

!{max-width:250px; height:auto}https://a-static.mlcdn.com.br/280x210/fone-de-ouvido-bluetooth-com-microfone-a-prova-d-agua-j-60-tws-j-60/karinadavid/bc229db26d0b11edb06b4201ac185019/a86bafce6ae5576b655633a271d13626.jpeg! !{max-width:250px; height:auto}https://a-static.mlcdn.com.br/90x90/fone-de-ouvido-bluetooth-com-microfone-a-prova-d-agua-j-60-tws-j-60/karinadavid/bc229db26d0b11edb06b4201ac185019/a86bafce6ae5576b655633a271d13626.jpeg!";"29/04/2024";"31/05/2024";"thiagoalves";"GR07"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00018947";"h1. Adaptador AUX Bluetooth, Plug and Play Receptor Transmissor Bluetooth Conveniente para Leitores de MP3 de Home Theater

!{max-width:250px; height:auto}https://m.media-amazon.com/images/I/41bh3CKnJkL._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/41F2bwfhaTL._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/41QXTYa2ZtL._AC_.jpg!";"29/04/2024";"31/05/2024";"thiagoalves";"GR07"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00018948";"h1. Adesivos de Sinal de Telefone, Adesivos Universais de Reforço de Sinal de Telefone Celular, Adesivo de Aprimoramento de Sinal de Telefone Celular para Telefones Celulares, Rádios,";"29/04/2024";"31/05/2024";"thiagoalves";"GR07"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00018949";"h1. O-ring De Borracha De Cilindro De 10 PCS, Anéis De Pistão De Bomba Anel De Vedação De Borracha Hermético Para Frasco Com Revestimento De Vidro, Frasco De Pedreiro, Não Tóxico, Leve/confortável, Duráve";"29/04/2024";"31/05/2024";"thiagoalves";"GR07"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00018950";"h1. Hélice para DJI MAVIC AIR 2, Baugger Substituição para DJI MAVIC AIR 2 Drone 4pcs Hélice com Baixo Ruído Fácil de Instalar Desmontar

[Excelente Artesanato]: Seja feito de material ABS, resistente e não fácil de deformar. Projetado e fabricado de forma exclusiva para alto desempenho de drones RC. [Leve]: é leve e não sobrecarrega o seu drone MAVIC AIR 2, muito conveniente de transportar. [Múltiplas opções]: ponta de ouro e ponta de prata opcional, 1 par e 2 pares opcionais. Mais opções para atender às suas diferentes necessidades. [Substituição para]: A hélice é compatível com o drone DJI MAVIC AIR 2, fácil de instalar e desmontar, com menos ruído. [Garantia]: Se houver algum problema, entre em contato com nossa loja a tempo. Nós lhe daremos uma solução satisfatória. Obrigado pela sua compreensão.

!{max-width:250px; height:auto}https://m.media-amazon.com/images/I/410Ey1dLFKL._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/41kFodmdJ1L._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/41ZWTbKzNRL._AC_.jpg!";"29/04/2024";"31/05/2024";"thiagoalves";"GR07"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00018951";"h1. Access point outdoor, Access point indoor, Sistema Wi-Fi mesh Meraki MR66 branco

Com o access point da Meraki você pode interconectar redes sem fio, conseguindo uma conexão estável e segura entre a rede e o dispositivo de destino. Conexão em todas as direções Este sistema Meraki MR66 permite que você elimine zonas de sinal baixas duma vez por todas para que você tenha uma cobertura Wi-Fi estável. Conexão sem fio Com este equipamento sem fio você poderá se mover livremente em torno de sua casa ou escritório e desfrutar da conexão sem estar ciente dos fios. Mais antenas, melhor sinal Com este dispositivo, as paredes e os tetos não são um obstáculo: vários receptores garantem um melhor desempenho em locais com alto nível de interferência. Mais velocidade Se o que você precisa é duma equipe que permita que execute suas tarefas diárias sem demora, com uma velocidade de 600 Mbps este dispositivo é perfeito para você. Grande alcance e estabilidade Fique sempre online! Com sua banda dupla você consegue maior alcance e melhor estabilidade de frequência.

!{max-width:250px; height:auto}https://http2.mlstatic.com/D_NQ_NP_825532-MLA46042971684_052021-F.webp!";"29/04/2024";"31/05/2024";"thiagoalves";"GR07"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00018952";"h1. Poco M5s Blue (azul) 6gb Ram 128gb - Lacrado Novo

## LACRADO NA CAIXA - GLOBAL ## FICHA TECNICA Espessura - 8,3 milímetros Dimensões (largura x altura) - 74,5 x 160,46 milímetros Peso - 179 gramas Construção, materiais - Corpo de plástico, tela de vidro Resistência à água e outros - Certificado IP53: resistente a respingos d'água e poeira Sistema operacional Versão do sistema -Android 12 Interface do usuário - MIUI 13 Processador Chipset 64bits: MediaTek Helio G95 (MT6785V) (12nm) CPU - Octa-core, 2 processadores: 2x 2.05GHz ARM Cortex-A76 (Dual-core) 6x 2GHz ARM Cortex-A55 (Hexa-core) GPU (placa gráfica) - ARM Mali-G76 MC4 (900MHz) Memória Memória RAM - 6GB LPDDR4X Memória interna - 128GB (101GB disponível) UFS 2.2 Armazenamento externo - Até 1TB microSD, microSDXC (espaço dedicado) Tela Tipo da tela - AMOLED Tamanho - 6.43'' polegadas Proporção - 83,5% (screen-to-body ratio) Resolução - 1080x2400 pixels (20:9) Touchscreen - Capacitiva Multitouch Densidade (pixels x polegadas) - 409 PPI Cores - 16 milhões Tela resistente a riscos - Gorilla Glass 3 Taxa atualização (Hertz) - 60Hz Recursos da tela - 450nits[typ], 1100nits[peak] Rede de telefonia Dual-chip - Dual-SIM Standby - Chamada ativa em uma das linhas (espaço dedicado) Cartão SIM - 2 chips (Dual-Chip) nano-SIM (4FF) Download / Upload máximo - 300/150 Mbps Redes móveis - 2G, 3G, 4G Câmera Câmera traseira (principal) - (câmera quádrupla) 64 megapixels 8MP ultrawidef/2.2118°1/4''1.12µm 2MP macrof/2.4 2MP profundidadef/2.4 Resolução câmera principal - 10120x6328 pixels Gravação vídeo câmera principal - 4K UHD (3840x2160) 30 fps Flash - Flash LED Abertura focal - f/1.8 (aperture) Distância focal - 26mm (lente) Tamanho sensor - 1/1.97'' polegadas Tamanho pixel - 0.7µm pixel Autofocus - PDAF: foco automático de detecção de fase Touch focus - Suporta Estabilização de imagem - EIS: Estabilização digital Zoom - Zoom digital Face/smile detection - Detecção facial, Detecção de sorriso Sensor BSI - Suporta HDR - HDR foto em ambas as câmeras Câmera frontal Câmera frontal (secundária) - 13 megapixels Resolução câmera frontal - 4128x3096 pixels Gravação vídeo câmera frontal - Full HD (1920x1080) Flash frontal - Não suporta Abertura focal - f/2.4 (aperture) Tamanho sensor - 1/3.06'' polegadas Tamanho pixel - 1.12µm pixel Som e multimídia Alto-falante -Som estéreo com alto-falantes duplos 24-bit/192kHz Redutor de ruído - 2 microfones ou mais Rádio - FM TV - Não suporta Formatos de vídeo - MP4, H.265, H.264, H.263, XviD, MKV Formatos de áudio - MP3, WAV, WMA, eAAC+, FLAC Conexões USB - USB 2.0 Type-C, USB OTG On-The-Go Conexão de áudio - Plug 3.5mm P2 Conexão para TV - USB Type-C (reversível) Bluetooth - 5.0 + A2DP/LE WiFi - 802.11 a/b/g/n/ac [wifi5] (2.4GHz, 5GHz) + MIMO WiFi Direct, hotspot DLNA -Não suporta GPS - A-GPS, GeoTagging, GLONASS, GALILEO, BeiDou NFC - Suporta IrDA infravermelho - Suporta Sensores Acelerômetro Bússola Giroscópio Reconhecimento facial (desbloqueio) Sensor de impressão digital (na lateral) Sensor de luminosidade Sensor de proximidade virtual Vibração – Suporta Bateria Bateria LiPo: polímeros de lítio (Fixa) Capacidade bateria - 5000 mAh Carregador, watts - 33W Carga rápida por cabo Carga sem fio - Não suporta Autonomia conversação - 36 horas (1,5 dias) ======================================================================= Fotografia profissional no seu bolso Descubra infinitas possibilidades para suas fotos com as 4 câmeras principais de sua equipe. Teste sua criatividade e jogue com iluminação, diferentes planos e efeitos para obter ótimos resultados. Experiência visual incrível Assista às suas séries e filmes favoritos com a melhor definição na sua tela AMOLED de 6.43''. Desfrute de cores brilhantes e detalhes precisos em todo o seu conteúdo. Melhor desempenho Sua memória RAM de 6 GB permite que seu smartphone funcione sem problemas e sem demora ao executar várias tarefas, jogar jogos ou navegar. Desbloqueio facial e de impressão digital Máxima segurança para que apenas você possa acessar o sua equipe. Você pode escolher entre o sensor de impressão digital para ativar seu telefone com um toque, ou o reconhecimento facial que permite desbloquear até 30% mais rápido. Vida útil da bateria mais longa Desconecte-se! Com a super bateria de 5000 mAh você terá energia por muito mais tempo para jogar, assistir séries ou trabalhar sem recarregar. DÚVIDAS FREQUENTES: 1 - Os produtos são novos R: Todos os produtos são novos e lacrados. 2 - A mercadoria está disponível à pronta entrega R: Todas as mercadorias são para pronta entrega. 3 - Como são realizadas as entregas R: As entregas são realizadas via Correios. 4 - O produto pode ser retirado R: Não, Só nos anúncios que exibirem essa opção. 5 - O Produto é versão Global. R: Sim, todos nossos produtos são versão Global. ESTAMOS A DISPOSIÇÃO PARA RESPONDER E ESCLARECER TODAS AS DÚVIDAS. PARA ISSO BASTA UTILIZAR O CAMPO DE PERGUNTAS. Garantia do vendedor: 3 meses

!{max-width:250px; height:auto}https://http2.mlstatic.com/D_NQ_NP_623792-MLB71636806891_092023-F.webp! !{max-width:250px; height:auto}https://http2.mlstatic.com/D_NQ_NP_909963-MLB71636806879_092023-F.webp! !{max-width:250px; height:auto}https://http2.mlstatic.com/D_NQ_NP_726371-MLB71636806895_092023-F.webp!";"29/04/2024";"31/05/2024";"thiagoalves";"GR07"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00018953";"h1. Carregador super rápido tipo C de 45 W, para Samsung Galaxy S22 Ultra Charger, Samsung Galaxy S8 S8+ Tab S7 Charger, 45W USB-C Charger Samsung, Cargador para Samsung S22 Ultra, Nnote 10 20 Plus";"29/04/2024";"31/05/2024";"thiagoalves";"GR07"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00018954";"h1. Transceptor ONS-SC+-10GEP61.8-40-AO";"29/04/2024";"31/05/2024";"thiagoalves";"GR07"
