"Projeto";"Tipo";"Situação";"Título";"Descrição";"Data de início";"Data limite";"Atribuído para";"Lotação"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00019457";"h1. Transmissor de áudio, 10 metros de transmissão ABS Adaptador Bluetooth compacto Estável amplamente compatível para PS4 para PC

Para quase todos os produtos digitais com saída de áudio, incluindo computadores, TVs e outros produtos que não possuem a função de transmissor Bluetooth. Conectando-se a um fone de ouvido Bluetooth por meio de um adaptador Bluetooth, você pode desfrutar facilmente de música e programas de TV sem afetar os outros. A tecnologia Bluetooth 5.0 pode garantir uma transmissão sem barreiras de 10 metros e uma conexão e transmissão de dados mais rápidas e estáveis. O transmissor Bluetooth usa material ABS de alta qualidade, o que o torna resistente e durável. O tamanho compacto facilita o transporte e não bloqueia a alça ao conectá-la para seu entretenimento.

!{max-width:250px; height:auto}https://m.media-amazon.com/images/I/31EDWc4KyJL._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/41hKBKI9MZL._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/41lvjEH-tkL._AC_.jpg!";"29/04/2024";"31/05/2024";"wesleychaves";"GR07"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00019458";"h1. Antena WiFi, Antena Sem Fio Acabamento Fino Resistente Durável Banda Dupla para WiFi WLAN Sem Fio para Computador

Comprimento do cabo: O comprimento do cabo da antena é de 70 cm, que pode atender a diferentes necessidades e tem acabamento fino. Forte compatibilidade: Com forte compatibilidade, a antena sem fio é compatível com todas as placas sem fio Mini PCI, PCIE WiFi. Banda dupla: a antena suporta banda dupla de 2,4 GHz e 5 GHz, com alta eficiência de trabalho e excelente desempenho. Materiais de alta qualidade: Feito de materiais ABS de alta qualidade, a antena é resistente, durável e não é facilmente danificada. Traz ganho: A antena sem fio é uma antena integrada que traz ganho para computadores, WLAN sem fio WiFi, etc.

!{max-width:250px; height:auto}https://m.media-amazon.com/images/I/315t2VkQrLL._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/411mX8JNBJL._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/418ZxpJ6E4L._AC_.jpg!";"29/04/2024";"31/05/2024";"wesleychaves";"GR07"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00019459";"h1. Samsung Galaxy S22 Ultra 5G (Snapdragon) Dual SIM 256 GB green 12 GB RAM

Fotografia profissional no seu bolso Descubra infinitas possibilidades para suas fotos com as 4 câmeras principais de sua equipe. Teste sua criatividade e jogue com iluminação, diferentes planos e efeitos para obter ótimos resultados. Perfeito para quem gosta de fotos detalhadas. Seu zoom óptico lhe dará a possibilidade de ampliar sem perder qualidade de suas capturas. Experiência visual incrível Assista às suas séries e filmes favoritos com a melhor definição na sua tela Dynamic AMOLED 2X de 6.8''. Desfrute de cores brilhantes e detalhes precisos em todo o seu conteúdo. Capacidade e eficiência Com seu poderoso processador e memória RAM de 12 GB seu computador alcançará alto desempenho com alta velocidade de transmissão de conteúdos e executará vários aplicativos ao mesmo tempo, sem atrasos. Desbloqueio facial e de impressão digital Máxima segurança para que apenas você possa acessar o sua equipe. Você pode escolher entre o sensor de impressão digital para ativar seu telefone com um toque, ou o reconhecimento facial que permite desbloquear até 30% mais rápido. Vida útil da bateria mais longa Desconecte-se! Com a super bateria de 5000 mAh você terá energia por muito mais tempo para jogar, assistir séries ou trabalhar sem recarregar.

!{max-width:250px; height:auto}https://http2.mlstatic.com/D_NQ_NP_762525-MLU70170971569_062023-F.webp!";"29/04/2024";"31/05/2024";"wesleychaves";"GR07"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00019460";"h1. Carregador E Cabo Xiaomi Turbo Qc 4.0 33w Na Caixa Original

!{max-width:250px; height:auto}https://http2.mlstatic.com/D_NQ_NP_715890-MLB70994801271_082023-F.webp!";"29/04/2024";"31/05/2024";"wesleychaves";"GR07"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00019461";"h1. Repetidor Tp-link Re505x Ax1500 Wi-fi 6 One Mesh Dual Band

!{max-width:250px; height:auto}https://http2.mlstatic.com/D_NQ_NP_926030-MLB52194551624_102022-F.webp!";"29/04/2024";"31/05/2024";"wesleychaves";"GR07"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00019462";"h1. Novo tripé de viagem leve de 65 polegadas para iPad Phone iPhone câmera DSLR com bolsa e selfie Bluetooth (65 polegadas)

!{max-width:250px; height:auto}https://m.media-amazon.com/images/I/51kNzk4U8vL._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/51kgPzkycdL._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/51gMy0L5ZyL._AC_.jpg!";"29/04/2024";"31/05/2024";"wesleychaves";"GR07"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00019463";"h1. Drone E88 Pro Com Câmera Dupla 4k Full Hd Wifi E Gps

E88 pro mini O MAIS pratico, dinâmico e fácil de pilotar com sua camera 4k hd dupla wifi fpv e modo headless formato dobrável, otimo para iniciantes ou adeptos de drones , se surpreenda com este magnifico quadricoptero. .........ATENÇÃO produto com estoque no brasil e envio imediato.... Características - Sensor de desvio de obstáculos de três lados, ele pode detectar automaticamente objetos e ficar longe para evitar colisões desnecessárias com seu drone. - Braços dobráveis, tamanho pequeno, fácil de transportar. - Função de modo de espera de altitude fornece vôo estável. - Função wi-fi pode ser conectado app, sistema apk para tirar fotos, vídeo, transmissão em tempo real através da imagem da câmera do telefone. - 2 câmeras com 1080p ou 4k câmera, grande angular e ampla para alta definição de imagens e vídeos. - Modo sem cabeça, não há necessidade de ajustar a posição da aeronave antes de voar. -Trajetória de vôo. Desenhe uma maneira fligh na tela, e o drone conduz um vôo autônomo ao longo do caminho designado. -Tecnologia 2.4ghz adotada para anti-interferência. - 4 canais que pode fazer ascendente, descer, para a frente, para trás, mosca lateral esquerda, mosca lateral direita e rolando 360 °. - Giroscópio de 6 eixos que pode ter um vôo mais estável e ser fácil de controlar. - 3 níveis de velocidade de vôo para alternar que pode fazer mais divertido o vôo. - A fuselagem quadcopter é feita de plásticos de engenharia de grande resistência, leve e durável. Funções - Para cima/para baixo, para a frente/para trás, vire à esquerda/direita, vôo sideward, velocidade de vôo de 3 níveis, luz led, modo sem cabeça, modo de espera de altitude, wifi fpv, vôo de trajetória, 2 câmeras de Vídeo Matéria - Código do item: E88pro - Freqüência: 2.4G - Canal: 4CH - Motor: 816 motor coreless - Quadcopter bateria: 3.7v 1800mah lipo (inclusa) - Bateria do transmissor: 3x1.5 aa bateria (não inclusas) - Tempo de vôo: 15 minutos - Tempo de carregamento: 100 minutos - Distância r/c: cerca de 80-100m - Distância do tempo real da imagem de wifi: aproximadamente 20-30m - Cor: Preto - Câmera: 1080p/4k (opcional) - Pixel da foto 4k: 4096*2160p - Pixel de vídeo: 2560*1440p - Tamanho do quadrilátero: 25*20*5.5 cm (os braços não dobrados) - 12.5*8*5.5 cm (os braços dobrados) Pacote Inclui: 1 E88pro rc quadcopter 1 Controle Remoto 1 3.7v 1800mah lipo bateria (opcional) 1 Cabo de carregamento usb 4 Tampas de Proteção 4 Lâminas De Reposição Garantia do vendedor: 1 meses

!{max-width:250px; height:auto}https://http2.mlstatic.com/D_NQ_NP_864810-MLB72955033397_112023-F.webp!";"29/04/2024";"31/05/2024";"wesleychaves";"GR07"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00019464";"h1. Roteador Wireless Tp-link Ec220-g5 Gigabit Dual Band Ac1200

Velocidades mais altas: O Wi-Fi 5 oferece velocidades mais altas em comparação com o Wi-Fi 4, permitindo uma transferência de dados mais rápida e streaming de mídia de alta qualidade. Largura de banda maior: O Wi-Fi 5 utiliza canais mais amplos para transmitir dados, permitindo maior capacidade de transmissão e recebimento de informações. Melhor desempenho em ambientes lotados: O Wi-Fi 5 utiliza tecnologias como MU-MIMO (Multi-User Multiple Input Multiple Output) para melhorar o desempenho em ambientes com vários dispositivos conectados simultaneamente. Melhor eficiência energética: O Wi-Fi 5 inclui recursos para economia de energia, permitindo que dispositivos com bateria durem mais tempo. Segurança aprimorada: O Wi-Fi 5 oferece opções de segurança avançadas para proteger as redes sem fio.

!{max-width:250px; height:auto}https://m.media-amazon.com/images/I/31563HEOwLL._AC_UL320_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/21Ng6G5cj3L._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/31+cd5CyWnL._AC_.jpg!";"29/04/2024";"31/05/2024";"wesleychaves";"GR07"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00019465";"h1. Projetor de tela de publicidade, 1200 rpm 3D WIFI multifuncional holográfico digital esférico projetor, 1400x224 WIFI sem fio Fan Decorated Christmas Tree Advertising (vermelho)";"29/04/2024";"31/05/2024";"wesleychaves";"GR07"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00019466";"h1. YONGYAO T24 Bluetooth 4.2 Carro Bluetooth Transmissor Carro Mp3 Player U Disk Car Mp3 Card Machine

!{max-width:250px; height:auto}https://m.media-amazon.com/images/I/41hARI9KPTL._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/41NwHCO2sHL._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/41pnv4vUNJL._AC_.jpg!";"29/04/2024";"31/05/2024";"wesleychaves";"GR07"
