"Projeto";"Tipo";"Situação";"Título";"Descrição";"Data de início";"Data limite";"Atribuído para";"Lotação"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00020481";"h1. Carregador de carro de controle remoto para drone, carregador de bateria de carro confiável para carro para família para drone para Mini 2";"29/04/2024";"31/05/2024";"williams";"UO021"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00020482";"h1. Alto-falante Bluetooth Wisetiger Para Exterior Ipx7 À Prova

O WISETIGER EH-F10C oferece um som natural, com grande clareza e precisão, que é uniformemente disperso. Um alto-falante que garante potência e qualidade por igual na reprodução de conteúdos multimídia.

!{max-width:250px; height:auto}https://http2.mlstatic.com/D_NQ_NP_961515-MLU69667209709_052023-F.webp!";"29/04/2024";"31/05/2024";"williams";"UO021"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00020483";"h1. Tampa de antena de drone, capa de plástico leve e estável para antena de trem de pouso 4 peças para Phantom 4 Pro";"29/04/2024";"31/05/2024";"williams";"UO021"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00020484";"h1. Fones Bluetooth Preto Portátil Para Sam A21 - Hm Pro

Um dos fones de ouvido Bluetooth mais tops do mercado, com excelente custo benefício que vai trer qualidade de som, portabilidade, estilo e performance para seu dia-a-dia. Postamos realmente muito rápido para que você consiga receber o produto o mais rápido possível, esse é um dos nossos diferenciais dentro da proposta do anúncio, pois um dos piores sentimentos é ficar aguardando uma postagem demorada, não é mesmo Fone de ouvido compatível, ou seja, ele vai servir perfeitamente para o modelo indicado no anúncio, sendo um produto que é feito por uma empresa diferente do fabricante do smartphone. Esse fone Bluetooth não tem nenhuma relação com o fabricante do smartphone, no entanto funciona perfeitamente no modelo informado. Fone de ouvido bluetooth especialmente desenvolvido para pessoas leigas, que tem maior dificuldade no pareamento de produtos do tipo bluetooth, pois ele tem como característica a facilidade em realizar o pareamento do fone Bluetooth. Para fer o pareamento desse fone bluetooth é muito simples: 1- Carregue totalmente o Fone Bluetooth2- Deslique o Bluetooth do Smartphone3- Após carregado, retire ambos fones da caixinha e aguarde 510 segundos4- Ligue o Bluetooth do Smartphone5- Faça o pareamento de forma simples O fone de ouvido tem boa bateria, podendo durar várias horas em uso intermitente, a 80% de volume. Funciona tanto o aúdio em apenas um dos lados como também vai funcionar naturalmente dos dois lados sendo uma característica muito interessante pois várias pessoas gostam de usar os fones em apenas um dos lados. A caixinha carregadora permite também que os fones fiquem carregando enquanto você não está usando, sendo que o carregamento da caixinha pode ser tanto através de porta USB ou tomadinha (Não incluso). Itens inclusos no pacote:- 1 Par de fones de ouvido Bluetooth (Preto)- 1 Ótima caixa carregadora- 1 Mini Manual de InstruçõesHomologação Anatel: 025911203111

!{max-width:250px; height:auto}https://a-static.mlcdn.com.br/280x210/fones-bluetooth-preto-portatil-para-sam-a21-hm-pro/olistsp/ospwhp8b38pzlzim/ad1108df345803104d0820f8517df8aa.jpeg! !{max-width:250px; height:auto}https://a-static.mlcdn.com.br/90x90/fones-bluetooth-preto-portatil-para-sam-a21-hm-pro/olistsp/ospwhp8b38pzlzim/ad1108df345803104d0820f8517df8aa.jpeg! !{max-width:250px; height:auto}https://a-static.mlcdn.com.br/90x90/fones-bluetooth-preto-portatil-para-sam-a21-hm-pro/olistsp/ospwhp8b38pzlzim/c16af2d8eaac8652f2caf3cfd20c4ebe.jpeg!";"29/04/2024";"31/05/2024";"williams";"UO021"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00020485";"h1. Drone Light, Drone Night Flashlight Alumínio preciso estável com luz dupla para DJI Mavic 3 Upgrade

Design preciso: O suporte estendido é moldado a partir da máquina real, próximo ao corpo do drone, conveniente para desmontagem, especialmente projetado para DJI Mavic 3. Recursos poderosos: A lanterna é feita de liga de alumínio, com corpo compacto e portátil, fácil de transportar sem muita carga. Quase não tem influência no desempenho do drone e suporta zoom telescópico. Método de montagem: o suporte da lanterna pode ser ajustado para um determinado ângulo antes de apertar os parafusos, de acordo com seus próprios necessidades podem ser instaladas. Wide Use: Construído em bateria de lítio recarregável de 1200 mah, 200-300 minutos de duração da bateria, design de 3 fontes de luz, suporta luz forte, luz fraca, flash 3 engrenagens de luz, adapta-se a diferentes cenas. Rich Content: Existem 2 luzes incluídas no pacote, o conteúdo rico pode atender às suas necessidades para converter sua atualização ou reparar seu drone, adequado para uso diário.

!{max-width:250px; height:auto}https://m.media-amazon.com/images/I/31g-pPFsrAL._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/31L7VnWNnfL._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/41qfbhJm30L._AC_.jpg!";"29/04/2024";"31/05/2024";"williams";"UO021"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00020486";"h1. UKCOCO 8 Peças Capa De Privacidade Para Câmera Capa Para Câmera Web Capa Para Webcam Capas De Privacidade Para Web Cam Capa Deslizante Para Câmera Laptop Capa Para Tablet Computador Capa";"29/04/2024";"31/05/2024";"williams";"UO021"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00020487";"h1. Kit Carregador Veicular Baseus 40w Usb-c Turbo+cabo iPhone

Olá, somos a BTQ DIGITAL, seja bem-vindo(a)!! *Revendedora AUTORIZADA PELA BASEUS no Brasil* *Conte com NOTA FISCAL e GARANTIA de 6 Meses* *Todos os produtos são NOVOS, ORIGINAIS, LACRADOS na CAIXA com ENVIO IMEDIATO. *25 anos de tradição em loja física em São Paulo (18 anos de Mercado livre) ------------------------------------------------------------------------ **PRODUTO COM SELO ANATEL Kit Carregador Veicular TURBO Baseus com 2 portas ( USB + USB-C ) e 40w de potência + cabo USB-C X Lightning (compatível iphones e ipads) com 1 metro. Feito de alumínio de boa qualidade, ideal para todos os tipos de celulares, tablets e outros equipamentos que carreguem pela porta USB ou USB-C. Conta com as seguintes potências: 20w da Porta USB-C 20w da Porta USB Graças ao carregador Baseus, você se livrará do problema de uma entrada e da limitação de carregar apenas um dispositivo. Graças a um carregador superpoderoso, você pode carregar simultaneamente dois equipamentos de forma rápida no mesmo carregador Carregamento ultrarrápido Dispositivos com uma interface mais antiga carregam cerca de 20% da bateria em 30 minutos, enquanto o dispositivo Baseus permite carregar até 60% da bateria ao mesmo tempo. Isso permite que você use aplicativos como navegação e carregue seu telefone visivelmente ao mesmo tempo. Ampla compatibilidade O carregador, apesar de carregar 2 dispositivos ao mesmo tempo, não superaquece. É compatível com vários telefones, tablets, quando o nível da bateria dos dispositivos que estão sendo carregados chega a 100%, ele para automaticamente de carregá-los, o que prolonga significativamente sua vida útil. --ESPECIFICAÇÕES: • Material: liga de alumínio + ABS + PC • Entrada: DC 12-24V • Produção total: 20W + 20W • Saída USB 1: 5V-3A 9V-2A 10V-2A 12V-1,5A 20W máx. • Saída USB 2: 5V-3A 9V-2A 10V-2A 12V-1,5A 20W máx. • Tamanho: 55x26,5x26,5mm • Peso: 25g • Mola antiderrapante, insira com mais firmeza • Chip inteligente, proteção múltipla, carregamento seguro • Protocolo compatível: PPS / PD / QC4 + / SCP / FCP / AFC e outro • Compatível com várias tomadas de isqueiro de 12V / 24V • Certificado ANATEL --ITENS INCLUSOS: 01 Carregador Duplo Veicular 01 Cabo USB-C x Lightning de 1 metro ------------------------------------------------------------------------ -> Todos os produtos saem com GARANTIA e NOTA FISCAL (pessoa física e jurídica/empresa) -> Pode RETIRAR na Zona Sul Berrini - SP -> Podemos enviar por motoboy (consulte valores) -> Consulte nossa LINHA COMPLETA DE PRODUTOS, clicando logo abaixo da foto, em: “Ver mais anúncios do vendedor” A Equipe BTQ Digital agradece a sua visita!

!{max-width:250px; height:auto}https://http2.mlstatic.com/D_NQ_NP_724187-MLB50894998054_072022-V.webp! !{max-width:250px; height:auto}https://http2.mlstatic.com/D_NQ_NP_724187-MLB50894998054_072022-F.webp! !{max-width:250px; height:auto}https://http2.mlstatic.com/D_NQ_NP_920088-MLB50895846163_072022-F.webp!";"29/04/2024";"31/05/2024";"williams";"UO021"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00020488";"h1. Fone De Ouvidos Bluetooth Com Powerbank Ergonomico Sem Fio - TWS Fone Recarregavel Blutoetooth

Fone BluetoothOs fones de ouvido bluetooth com case powerbank são dispositivos compactos e versáteis.Com a liberdade dos fones sem fio e a praticidade do estojo carregador, eles são ideais para pessoas em movimento.Além de proporcionarem áudio de alta qualidade, os fones possuem uma case powerbank integrada, permitindo que você recarregue os fones e até mesmo seu smartphone. Com design elegante e funcionalidade combinada, esses fones de ouvido oferecem uma experiência auditiva sem fios e uma solução completa para suas necessidades de energia móvel.Conteúdo da embalagem1 Par de fones bluetooth1 Case powerbank1 Cabo USBBorrachinhas extra

!{max-width:250px; height:auto}https://a-static.mlcdn.com.br/280x210/fone-de-ouvidos-bluetooth-com-powerbank-ergonomico-sem-fio-tws-fone-recarregavel-blutoetooth/technoboxstore/1186b/0853686148d9ae05d6118d0771114f72.jpeg! !{max-width:250px; height:auto}https://a-static.mlcdn.com.br/90x90/fone-de-ouvidos-bluetooth-com-powerbank-ergonomico-sem-fio-tws-fone-recarregavel-blutoetooth/technoboxstore/1186b/0853686148d9ae05d6118d0771114f72.jpeg! !{max-width:250px; height:auto}https://a-static.mlcdn.com.br/90x90/fone-de-ouvidos-bluetooth-com-powerbank-ergonomico-sem-fio-tws-fone-recarregavel-blutoetooth/technoboxstore/1186b/797171b2b088d9b3d33c2fe46db409d4.jpeg!";"29/04/2024";"31/05/2024";"williams";"UO021"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00020489";"h1. Tablet Positivo Twist 1GB RAM 32GB, Tela de 7"", Câmera Frontal 2MP, Wi-fi, Android Oreo Edição Go - Cinza (T770C)

O Tablet Positivo Twist T770C chega com tela de 7 polegadas, capaz de garantir uma resolução de imagem de ótima nitidez para você aproveitar ao máximo. Os recursos disponíveis ainda conta com 32GB de memória interna, câmera frontal com 2MP, wi-fi e Android™ Oreo™ (Go Edition). Com o processador Quad Core de 1,5 GHz integrado, é possível desfrutar de um desempenho excepcional em alta velocidade. Sua bateria de alta capacidade com 2400mAh, o que permite continuar desempenho suas atividades por ótimos períodos.

!{max-width:250px; height:auto}https://m.media-amazon.com/images/I/61mwwO1YR8L._AC_UL320_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/41LgkB8VU4L._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/41Qt5bhxqQL._AC_.jpg!";"29/04/2024";"31/05/2024";"williams";"UO021"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00020490";"h1. Carregador Parede Ultrarápido Fast Charge 2.8a V8 Mini Usb

** LANÇAMENTO ** Compatível com Samsung Motorola Asus Sony Multilaser Lenovo com conector micro USB (V8 Carregador Ultra Rápido V8 2.8A com Selo Anatel Carregador de parede Ultra rápido com conector micro USB (V8) com 1 entrada USB que permite carregar até 2 aparelhos simultaneamente. compatível com qualquer dispositivo que possua conexão micro USB Especificações: Entrada: 100-240V / 50-60Hz Saída: DC 5.0V - 2.8A max Conteúdo: 1 Carregador Ultra Rápido * Informamos a marca ( samsung, asus, Iphone, Lg etc, devido a compatibilidade com os aparelhos e não por ser Original da marca específica, por isso não consta no anuncio como original ok.

!{max-width:250px; height:auto}https://http2.mlstatic.com/D_NQ_NP_707553-MLB41286334163_032020-F.webp!";"29/04/2024";"31/05/2024";"williams";"UO021"
